chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned)
只是朝代年纪，失落无考。,All it lacked was the authentication of a dynasty and date.,"Just time and age, lost in question.","The dates and events involved are all lost in the mists of time, and there is no evidence to suggest that any of them related to a Emperor or Empress.",Just a question of dynasty age.,It does lose some detail about the dynasty system.,Only time is lost.,The year of departure is missing from his resume.,Just how old is the dynasty; I have no records of it.,But as for the periodities—we just can't be certain.
贾瑞急的也不敢则声，只得悄悄出来，将门撼了撼，关得铁桶一般。,"Alarmed, but not daring to make a sound, Jia Rui stealthily crept out and tried it. It was locked—as tight as a bucket.","Jie Ru hurriedly could not speak, but had to quietly come out and knock on the door, making it look like a metal can.","Feng Rui had grown afraid of him and was trying to get out of there at once, but in the end he could no longer force a sound; and having carefully rearranged the lock, left the room as if it had not been there.","Jia Rui was so anxious that he dared not make any noise. He could only quietly come out, shake the door, and close it like a bucket.","Jia Rui became extremely anxious and, for want of anything else to keep him company, set out on a circuitous journey to his room; there he locked up the door as best he could.","As for me, I am very sorry that you have been so rude to my character. I hope you can forgive me.","At last Jia Rui could no longer cry out, and reluctantly got up, rising to close the door as quickly as possible with his hand against it.","Jia Rui was so anxious that he could not make a sound. He had to quietly come out, shake the door, and shut it like a bucket of iron.","Slightly fearing for his life, Jia Rui made do with crouching outside the door and rocking it back and forth for all he could, as though trying to lock it: for once he was on his feet he would have to go hiding."
因问贾环：“你输了多少钱？”,How much did you lose?',I asked宝玉：“How much did you lose?”,How much money did she lose?' he asked.,"Because he asked Zhao Hang: ""How much money did you lose?""",He turned to Jia Huan: 'How much money have you given as a penalty?',"Question: How much did you lose?""",How much did your win last?' he asked.,"Because he asked ""How much money have you lost?""",He turned to Jia Huan: 'How much do you think you've lost?'
“不推荐了？”,'There's no need for recommendations anymore?',"Is there anything you recommend?""",No?,"Is it not recommended?""",Don't recommend me?',"Is that recommended?""",Recommended?',"Is it not recommended?""",Don't recommend him?'
叶文洁站在她身边，摸摸她的额头、脸和手，都是冰凉的，其实文洁在进门后就注意到了写字台上倒放着的那个已空的安眠药瓶。,"Wenjie stood next to Ruan and gently caressed her professor's forehead, face, and hands—all cold. Wenjie had noticed the empty sleeping pill bottle on the desk as soon as she came in.","Vicki was standing by her side as she touched the back of her head, face, and hands. It was cool. In fact, Vicky had noticed that there was an empty sleeping pill bottle on the desk after entering.","Ye stood next to her. She touched her head, her forehead, and hands. All were cool. Wenjie noticed that there was a love drug on the desk, emptying from the table.","Ye Wenjie stood next to her, touching her forehead, face, and hands, all of which were cold. Actually, Ye Wenjie had noticed that the empty pill bottle lying on the desk was upside down as soon as she walked in.","Ye Wenjie stood by her side. She could feel her temperature with her hands: it was cold, even on the already-opened bottle of sleeping pills lying atop the table.","Yan Wenjie stood beside her as she touched her head, forehead, and hand. She felt cold to the touch. It was evident that Yan had noticed on entry that there was a blanked sleeping pills bottle on the desk.",Ye stood beside her. She wiped the cool heads of the others with her hands and felt for the old habit of putting the sleeping pill aside on the desk. She had noticed this when she entered the room.,"Ye Wenjie stood beside her, touching her forehead, face, and hands, which were all cold. Actually, Ye Wenjie had noticed the empty bottle of sleeping pills on the desk when she entered.","Ye stood by her. She ran her hands over her forehead, face, and hands—both of them were ice-cold. Actually, Ye noticed the empty bottle of sleeping pills on the table beside the desk just as she entered."
大人说不是；孩子又问：他们是敌人吗？,"The adult says no. The child asks, 'Are they enemies?'",The adult said not; the child asked: Are they enemies?,"The adult says no. The child asks, 'Are they friends?'",The adults say no; the children ask: Are they enemies?,"The adult said no; but the child asked, 'Are they enemies?'",The adult says not; children ask: Are they enemies?,"The adult says no. The child asks, 'They're not friends,'",The adult said that it was not so; the child asked: Are they enemies?,"The adult again says no; but the child asks, Are they enemies?"
一面说，一面就站起来了。 刘老老只是千恩万谢的，拿了银钱，跟着周瑞家的走到外边。,"She rose to her feet, and Grannie Liu, with heartfelt expressions of gratitude, picked up the money and followed Zhou Rui's wife out of the room.","One said, while he stood up. Liu Ge only thanked him in a thousand ways, took money from Zhou Rie's house, followed her to the outside.","He stood up as soon as he realised what she was doing, and Grannie Liu smiled gratefully as she followed her mistress across the room.","Speaking one moment, he stood up at once. Liu Lao just said a thousand thanks as he took out silver and money, followed by Zhou Rui's maid.""","As she did so, she addressed Grannie Liu a great many thanks and took the money with much ceremoniousness, urging her on till they were outside and good-bye.","One says one stands up. Liu Tianyi just gave him a thousand merciful words, and followed Zhou Rui's steps to the outside.","He stood up as soon as he said this, and Zhou Lili seemed to put up with his blandishments wholly unconcerned, for which he was grateful; after passing around a bundle of silver to周瑞家的领进室内。","On one hand he said, on the other he stood up. Liu Lao just thanked him a thousand times over, took out his silver money, followed Zhou Ruihe to the outside.","All the while she was saying this, Grannie Liu got to her feet, thanked him a thousand times over, and took the money and the silver with thanks, being kindly conducted out of the room by Zhou Rui's wife."
不过属下胆大妄为，事先没向韦香主请示，擅自将小郡主带进宫来，给韦香主增添不少危险，不少麻烦，实在该死之极。”,"Of course, it was rather a nerve, taking it on myself to bring the Little Countess in here without consulting you. It means a lot of danger for you, Master. And trouble. I deserve to be hung.'","But his subordinates were bold and rash, not even consulting him before they brought Lady Huānshǐ in as a guest of honor. They added more trouble and inconvenience to this, and it was too bad that he had gone so far.""","But I took the initiative, didn't I? I've no reason for believing that he'd sought my advice before taking him in. He's now become a great danger to Lady Wang, with so many complications that it seems as if the Devil himself is involved.'","However, my subordinates were bold and reckless. They didn’t ask for permission from Master Wen before taking the young lady into the palace, which added many dangers and troubles to her. I’m really sorry.”","I realized how dangerous it was for you and myself when I took your little郡主进来 without first asking you, so I'm sorry.'","But the subordinate was bold and rash, without consulting him before he brought Xiao Hongmao into the palace, adding more danger and trouble to his heart. The matter is beyond this point.""",But I thought it was too risky not to ask you first before coming here. I deserve death for what I did.',"However, my subordinates are foolish enough to act recklessly without consulting Master Wei beforehand. They have brought danger and trouble to Master Wei by bringing the young lady to the palace, and I am truly deserving of death for this.”","It was rather bold of me to take the Little Countess in without asking first, and causing you so much trouble. I stand absolutely guilty as acrimony.'"
“您能…… 说具体些吗？”,'Can you ... be more specific?',"Could you please elaborate on this?""",Can you tell me ... how much?',"Can you... be more specific?""",Could you please explain?',Could you please explain in more detail?,Can you tell me ... what particular detail do I have to hear?',"Can you... be more specific?""",Could you please clarify?'
是以贾环等都不甚怕他，只因怕贾母不依，才只得让他三分。,The latter – Jia Huan included – reciprocated with a healthy disrespect only slightly tempered by their fear of his doting grandmother.,"So, because none of them were afraid of him, only because he was afraid that his mother would not agree, he had to give him a third.","This was why each of them, including Jia Huan, was not very afraid of him; but it was because Grandmother Jia didn't like him that he was given a partial run for his rights.","Because all of them were not afraid of him, but only because they were afraid that Jia Baobao would not be pleased if he refused, they had to let him off with a concession.","The rest of the boys in the house, however, took their advice (although they themselves would never have dreamed of disputing with Jia Huan) and made no further attempts to provoke him, but all looked very wary of Jia Rui should he make any such attempt in his absence.","Thus, none of his relatives fear him, but for fear that he is not liked by the mother-in-law, he has given him a third share.",This was why there was no fear on all sides that Grandmother Jia might refuse to give him a dime; but it was because they thought she would prefer someone else to arraign him that he was granted so few concessions.,"Because none of them were afraid of him, they only feared that if it was not allowed by his mother, he would have no choice but to give him a little bit of face.","So that even though he was the Duke of Guanghui's favorite, Jia Huan, like the others, knew not to anger his 'goddess' by crossing himself, but he had to restrain his contempt for her: otherwise there would be no one stronger than he was to keep him in check."
到潮退时我也安息，但潮兴时要乘兴而舞。,"When the wave receded, I would rest calmly, but I wanted to dance while the wave was at its peak.","I too will rest when the tide is receding; but when it rises, I will dance with zest.","I would rest peacefully after the tide went out, but when the next high water rush came, I would舞得兴冲冲。","When the tide goes out I will rest, but when it comes in I will dance with pleasure.","When the tide went down, I would relax; but when it was rising, I had to dance with joy.","As I retire, I will rest, but when the tide is on it, I shall dance.","I'd want to rest after the sea returned back常态, but then I have to ride out each wave with a big grin.","When the tide recedes I also rest, but when it rises I dance with joy.","When the tide went down, I would rest; but when it was rising I had to dance with joy."
钱老板接了过来，在猪背上一划，没料到这匕首锋利无匹，割猪肉如切豆腐，一剑下去，直没至柄。,"Butcher Qian took it from him and made an incision in the back of the pig's carcass. Unaware of the blade's incomparable sharpness, he was somewhat surprised at the ease with which it sank in, at once burying itself up to the hilt and slicing through fat and flesh as if it were bean curd.","The money man accepted it with a flourish on his pig’s back, but when he cut it, he was surprised by how sharp it was – cutting pork like peeling a tomato. The knife went straight through its handle.","The butcher accepted the object calmly and struck the dagger with the hand which held it, cutting the carcass of the pig like a piece of hard cheese.","Mr. Qin took it over, slicing the pig's back, not expecting the knife to be so sharp that he could cut the pork as easily as cutting tofu, straight down through the handle.","Butcher Qian took them in stride and took a knife from one of the stock. He found it surprisingly sharp, given its inelegant blade, and very good for slicing meat, so incisive that not even the wooden handle reached the ground.","Money owner took the knife, then cut his pig on top of it. He didn't expect that this sword was so sharp that it could slice pork like a piece of tofu. Just one blow and he couldn’t get past the blade.","The butcher took the dagger with both hands and slashed it in the centre, sending the mixed foodstuff within intact, even slicing the top off, as he went.","Mr. Yuan took it from him, cut at the back of the pig, not expecting the dagger to be as sharp as a knife, cutting pork like cutting tofu, slicing all the way down to the hilt.","Butcher Qian took the knife from him and made a stab. He had no idea how sharp it was; the result was as he would have hoped: the刀割肉如同切豆腐, right up to the handle."
斯坦顿上校轻蔑地说，同时开始点雪茄。,"Colonel Stanton said contemptuously, as he lit his cigar.",Stanton said with disdain that he began smoking a cigar.,Colonel Stanton said disparagingly about the snowball. He began to smoke.,Stanton Colonel sneered as he began lighting his cigar.,Colonel Stanton spatted before taking a cigar out of his pocket to light.,Stanley Senior said with a contemptuous tone that he began smoking.,Colonel Stanton said disparagingly about the snowball. He started smoking.,Colonel Stanley sneered as he began lighting up a cigarette.,Colonel Stanton said sarcastically as he took a cigar out of the case.
山上有一股风，无声无息地吹下去。 天地间充满了悲惨的气氛。,"A current of wind slipped down the mountain without a sound, without a breath, and a sadness in the air filled every space between the sky and the earth.",There is a gust of wind that blows down from above. The atmosphere is filled with sorrow.,"On the mountain a wind of lamentable quality blows by, blowing with undulations across the vast expanse of the sky.","There is a wind on the mountain, blowing silently and without sound. The sky is filled with miserable atmosphere.",On the mountain wind blows silently and endlessly. The whole world is filled with a tragic atmosphere.,"There is a wind that blows down from above, without any sound or effect. The atmosphere is filled with tragic feelings.","There was a wind blowing silently up and down the mountain, as if sending with its winds of despair the scattered particles of heaven and earth.","There is a wind on the mountain, blowing silently and unnoticeably. The world around them is filled with sorrow.","On one of the hills a wind howled without making any sound, filling the whole world with a tragic atmosphere."
说着便令人送女儿进去，自携了雨村来至书房中，小童献茶。,"So saying, he called for a servant to take the child indoors, while he himself took Yu-cun by the hand and led him into his study, where his boy served them both with tea.","I said so, and she was taken out of the house and carried into the study by her maid. The young man brought tea for her.","As he went forth, he took with him Yu-cun; but before he was halfway down the steps, he put her in charge of him and walked on alone round to the reception-room. The boy carried Tian-yin in his arms to his study.","He spoke of sending his daughter inside, taking Rainvill with him to the study, and having a small boy serve tea.","As she did so, the maid went to announce her arrival and brought Yu-cun in with her from the bedroom and waited while his tea was brought in from the little office and served it to him.","Speaking is like sending a daughter off with him to the inn, and carrying along Mengru in his hand.","As she spoke, she drew a little daughter out for the journey and carried her into the reception room; then she took herself off with the young man on a tray of tea.","He said, ""Bring me my daughter now."" He then took Rainford with him to his study where a servant brought him tea.","As she did so, she ordered the boy to send for her daughter, and to bring Timothy Yu-cun in as well. While they were waiting for their tea, he instructed them to bring him some wine."
宝玉笑道：“只从那个月见了你，我叫你往书房里来，谁知接接连连许多事情，就把你忘了。”,"'After I invited you round to my study that day,' said Bao-yu, 'a whole lot of things seemed to happen one after the other, and I'm afraid I quite forgot about your visit.'","Qingyu said, 'Only from that time I met you, I called you to the study. How many things did you forget after all?'""","Bao-yu smiled. 'It all started with that month! I used to tell you I wanted you to come back to my study, but many things that came rushing up all at once made it hard for me to keep track of them all.'","Jia Baoyu said, ""I have just seen you that month. I asked you to go to the study, but it is all connected with many things. You were forgotten.""","From that time,' said Bao-yu, 'when I first saw you that month, you were the talk of the house; so many things have happened since then that I have been忙着 dealing with them that I can't remember ever seeing you.'","Qian Guan said, 'I called you to the study when I saw you on that month. How many things happened after that, did you forget me?'","From the very beginning I wasn't much help to you,' said Bao-yu, laughing. 'The month you saw me first meant very soon enough that I was unable to keep up with all the happenings and it was no use trying to remember them all.'","Jia Baoyu said, ""I only remembered you after seeing you that month. I was so busy with many things that I forgot about you.""","Bao-yu smiled: 'Since that time I didn't see you any more until the first time I saw you a month ago. You will remember, though, that a great number of things happened during that month before you came back here.'"
萨克斯管里夹带着唱片的走针声，嘶嘶的，就有了些贴肤可感的意思。,"The sound of the saxophone, mixed with the hissing sound of the needle against the vinyl, gave him a feeling of an almost palpable intimacy.",The sound of needle pressing a record in the saxophone's tube is palpable; it adds some touchable significance to it.,"The aspen pole was wrapped in fabric, and the針 blink were loud enough to be heard even when she was standing far from the band.",The saxophone is accompanied by a scratch of the turntable's needle; it has a slightly skin-tingling effect.,"The saxophone管里有一种咔哒咔哒地走针的声响, this gives the impression of being imprinted on the skin.",The sound of a cello pipe picking through a record is so close that it feels like skin contact.,"The record player was squeezed between a pair of scissors, and the snitching sounds came through the instrument like breathing through thin sheets of leather.","The saxophone was playing a record needle grinding sound, which had the feeling of being close to skin.","The saxophones were dotted with the pocky sound of records turning, and though they did not seem to communicate much musical meaning, you could feel them against your skin."
他怎么又跑出这么个侄儿来了呢！”,"Where she would come by a nephew like this one, I just do not know!'",How could he have run out on such a nephew again!,He must have run out again to see the nephew of his!',"Who is this nephew of his? How did he run out again?""","Oh, to think there is another nephew of mine strolling around here!'",How can he run out of such a nephew again?,Now he's running out of cousins!',How could he have had another nephew like this one!,Where did this young man come from?'
