chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned)
村里街道上也水深及膝，骡马牛羊都泡在水里，水上漂着牲畜们稀薄的排泄物。,"The water in the village was knee-high, covering the legs of livestock, whose waste floated on the surface.",Water was deep enough for a knee-high horse and mule and all the animals were soaking up the sewage from the water.,"The streets were filled with water – at least six feet. Shefeng, mules, donkeys, and flocks of goats threw their stink as far away as possible.","The streets of the village were flooded up to their knees with water as well. Cattle, horses, and sheep were floating in it, while the feces from their urine was floating on top of the water.","On the streets of the village, the water was as deep as people's ankles, and mules, horses, and buffalo swam around in it until it was covered with their excrement.","Near the village's streets too, water was up to their knees, and horses, sheep, and cattle were swimming in it, leaving traces of their excrement on the surface.","The streets were filled with water – enough for a pair of shoes or a buffalo huss – and animals (horse, cattle, goats), human waste from their meals, bobbed and贝在水上漂着。","The streets of the village were also flooded up to the knee, horses, mules, and sheep all floating in the water, while their feces floated on top of it.","Village streets were waist-deep with water, even for the oxen and mules, who swam around floating chunks of their excrement.","In the village streets as well, water was at least knee-deep; horses, mules, and cows were soaking wet; the water carried out of them the faintly defecating droppings of the livestock.","As the village roads were all about six feet deep, rats,蛇类,狐狸以及一些肥猪、肥牛都在路上行走,路上积水上涨,阻碍通行,老鼠和蛇类尸体垃圾亦可飘至道路两侧。","The streets of the village were waist-deep in water too, with horses, mules, and sheep all floating in it, with their excrement floating on top.","On the village streets the water was chest deep, and horses, mules, and buffalo were swimming in it; above the animals' feces floated their wet bodies."
我在一边看完了才走。,I didn't leave until I witnessed the whole episode.,I have watched a movie on one side before I left.,I finished reading my story before I left and walked away from here.,I finished watching before I left.,I finished reading it when I saw it.,I finished reading before I left.,"As I finished reading, I left the office.",I finished watching before I left.,I finished reading it when I saw it.,I finished reading one book before I left.,"I finished reading, and then left here soon after.",I left after finishing watching it on one side.,I finished reading it while you were away.
低头看去，宽阔笔直的马路上跑着如豆的汽车，成串的亮珠子。,"Below, the cars speeding down the straight broad roads looked like a chain of pearls.","Looking down at them, there were like a dozen cars running on that straight road, each with a bright pearl shining from it.","As he looked down, a broad road was crossed by endless buses, connected by litters of watches.",Look down; the wide straight road is filled with small cars moving in rows of light beads.,But as he looked更低，他看见宽阔平坦的道路上飞舞着千百颗汽车灯，一列长的汽车像无数明亮的串联珍珠在行驶。,"Looking down at it, there was a line of cars running on straightaway across the broad road, with bright lights flashing like beads.","As he looked down, a broad, plathographic road was being overtaken by vast, unbroken lines of red-and-white buses.","Looking down, a broad straight road is filled with cars like tiny beads running in rows.","Lowering his head, he could see wide, straight roads filled with cars travelling at a steady pace like faraway sparks on a broad road.","As one walks by a wide road of cars running like beans, there are numerous small beads of light.","As he looked down, a broad road was crossed by straight, narrow buses lined up like pebbles; one could see a line of few dozen red stars floating in the air.","Looking down, there were cars zooming along the wide straight road like small lamps, with a string of bright light bulbs.","But as she looked down, she saw a dense curtain of cars moving along the highway, like beads on a string, passing back and forth."
成名如此之早，当真古今罕有。”,"To have won such fame, and so early in life too, is an almost unparalleled achievement.'","It was so early for him that he had never seen anything like it before.""","And he did, apparently, during his lifetime, '","Such a great success at such a young age is truly unprecedented in history.""",To be named after so young an age is indeed rare indeed.',"It is so early that one does not know of it from ancient times.""","And he did, you know, when you first became famous . . .'","He was so famous at such a young age, truly rare indeed.",To be a success like this early in life—isn't that rare history?',"The translation of this phrase from Chinese to English is: ""It's a great honor for him to be born so early.""",And he did seem unusual for a young man to成名这么早！」,"He has already achieved fame so early in his life, truly rare in history.",To be a famous writer by such an early age must indeed be rare history.'
待雄飞高举，明冬再晤，岂非大快之事！”,How delightful it will be to meet again next winter when you have distinguished yourself by soaring to the top over all the other candidates!',"Wait for his flight to take him up high, then we will meet again next winter. Is this not a great thing!""",The sight of him soaring high above the frost-free air and meeting up with her again in the clear winter days to pursue their shared desire... that sounds like a very satisfying affair.',"Wait for the king to fly high and meet again in the winter!""","When you are ready to carry your flight, I shall expect to see you again soon in the winter.'","Wait for him to fly high and meet again in spring next year. How come it is a great thing!""","Had we got lucky and won that contest, what would have been the plaisir of catching a freebird in winter!'","Let him soar high in the winter, we will meet again in the coming year!""","When you are finally freed, come back here again冬天里。 Then we can meet once more, and I promise you a快乐的事!'","Wait for him to fly high and meet again next winter, isn't that a great pleasure!""","Then, when the flying stork has soared to its highest point and then flown again, one shall have an excellent opportunity for gratification!'","Let him fly high now, then we will meet again in the winter! Isn't that a great thing!""",Perhaps next winter when the phoenix has flown so high again I can meet you once more in the courtyard.'
纵声大笑，身子跟着乱动，右腿一曲，右手已抓住了匕首柄，极慢极慢的从剑鞘中拔出，不发出丝毫声息，就算有了些微声，也教笑声给遮掩住了。,He kept up the artificial laughter in order to cover up the wriggling of his body. While he was talking and laughing he had managed to draw up his right leg so that he could get his hand on the dagger in his boot and draw it from its sheath. Any slight sound that this operation might have given rise to was masked by his idiotic cachinnation.,"Quietly laughing, his body moved as if he was following a song. He raised his right leg and grasped the handle of the knife, slowly and carefully from the sheath of the sword. There was no sound when he pulled out the blade, not even a single sound. Even if there was a slight noise, it would be drowned out by the laughter.","He let out a great loud cry, and gave way to wild movements which made his right leg turn aside; then he drew his dagger from his sheath and picked it suddenly out of it. He allowed none of the noises that should be made, although they seemed almost imperceptible, to掩盖他的欢声笑闹。","Laughing loudly, he moved about wildly with his body, bending his right leg and grasping the handle of the dagger with his left hand. He slowly extracted it from its scabbard, making no sound at all, even if a whisper could be heard. Even a faint sound would be covered up by the laughter.","He began laughing loudly; his body started rolling from side to side, as he withdrew the dagger and held it tight between palm and hand. It was a very gradual and meandering motion, so that even if the sound of his breathing had been heard, it would have been more than outweighed by the noise of his big grinning smile.","The voice of laughter rang out from his mouth, followed by a series of uncontrollable movements. His right leg turned, his hand grasped the handle of the sword. Slowly, slowly, he pulled out the dagger with a slow, deliberate motion. There was no sound as if there were any. Even though there was some noise, it was drowned out by the laughter.","He let out a loud laughing fit, but his right leg gave way before he was done throwing the dagger from his hip and drawing it from his sheath. He could hear only laughter as he did, but whatever it was he was doing seemed to be completely masked by the creaking of that laugh.","Laughing loudly, he moved about wildly with his body. With his right leg bent, he reached out his right hand and grabbed the hilt of the dagger. He slowly pulled it out from its sheath without making a sound at all. Even if there was some faint noise, it would be covered by the laughter.","He began laughing loudly, his body starting in a series of jerks and twitches; then, very slowly, he placed the point of the dagger in his grip, and though making no sound, drew it free of the sheath.","Silent laughter echoed through the room, and the body moved with great force as he leered at the wall. He was already grabbing the blade's handle from his bag and pulling it out slowly. The sound of his laughter was not heard except for a small amount of noise; he wanted to hide the sound away.""","He let out a great cry of delight while his body went freefalling left right. He kicked his legs out, pulled the dagger from his hand, took out his pocket knife, and waited for the noise to make its noise. It would make some noise, but a laugh would cover it.","Laughing loudly, his body moving around wildly, he bent his right leg as he drew his hand up from the scabbard, drawing out the dagger very slowly with no sound at all, even though there was a slight noise, it would be covered by the laughter.","He threw a great laugh which set the old man's teeth ache; then, as the butcher was howling with laughter, he reached forward and grasped the dagger handle with his right hand. Slowly he drew it out of its sheath, until almost noiselessly removed it from the belt."
他似乎没听见。 我劈手把牛鼻绳夺了下来，他就朝我挥了一巴掌。,"He didn't seem to hear me, so I snatched the tether from him and he slapped me without thinking.","He did not hear me. I took the bull's nose chain from him, and he gave a slap at me.","He didn't hear me, though. I ripped the stork harness from him and he gave me a slap.","He didn't seem to hear me. I snatched the ox's snare out of his hands, and he slapped me across the face with a palm.",He didn't seem to hear me; I snatched the leach-patron rope from him and he swiped at me with a palm.,He did not hear it. I took out the bull's nose rope from him and he gave me a slap.,He didn't hear me. So I ripped the bull-horn harness from him and he gave me a slap.,He didn’t seem to hear me. I snatched away the ox’s bridle and he slapped me across the face with his hand.,He didn't seem to hear me; I reached across him and took the rope in my hands. He flashed me a slap.,He did not hear it. I cut off his nose chain and he hit me on the head with a fist.,"He didn't hear me, though. I torn his harness away and gave him a slap.","He didn't seem to hear me. I snatched off his bullwhip with a swift movement of my hand, and he slapped me across the face.",He didn't seem to hear me. I reached for the rope holding the cow's nose to her head and took it away. Then he slapped me with the rope.
世界是平的，向各个方向延伸到很远很远，但总是有边的。,"The world was flat and extended very far in each direction, but ultimately there was an edge where it met the sky.","The world is flat, stretching out from every direction, but always there is a border.","The world is flat, always there somewhere.","The world is flat, extending far and wide but always with edges.","The world is flat, extending far and wide in all directions; but it never seems to end.","The world is flat, extending infinitely in all directions, but always has a border.","The world is flat, always there somewhere.","The world is flat; it extends in all directions very far, but there always is a border.","The world is flat, which extends far and wide; but it never reaches infinity.","The world is flat, stretching out infinitely from every direction, but always has a border.","The world is flat, always having a boundary.",The world is flat – extending far and wide in all directions – but always has edges.,"The world is flat, which extends far into all directions; but everywhere has border."
其实我们随时可以逃走，但她不乐意。,"Actually, we could have left anytime, but she didn't want to.","Actually we can always run away, but she doesn't want us to.","We could have run away anytime, but she didn't want to.","We could always run away, but she didn’t want to.","We could have run away any time, but she said it wasn't fun anymore.","In fact we can always escape, but she doesn’t want to.","We could have run away anytime, but she didn't want to.","In fact, we could always run away, but she doesn’t want to.","We could have run away any time, but she didn't want to leave.",It is always possible to run away; but she does not want to.,"We could always run away, but she didn't want to.",We could always run away but she didn’t want to.,"We could have run away any time, but she said it wasn't fun anymore."
后来人家又不怀疑我们去了国外，开始对她比较客气，经常叫她到医院去，给参谋长看前列腺炎。,"Later on they stopped suspecting we had gone abroad. They began to deal with Chen Qingyang in a more civilized way, often asking her to go to the hospital and treat the prostatitis of the chief of staff.","Later, when she did not doubt that we had gone abroad, they began to be more polite towards her and often called her to the hospital to see what was wrong with her prostate gland.","Eventually, she didn't suspect us to go abroad, and after graduation she began to treat us more kindly; regularly we were sent by the Dojiao General to look at her prostate, and she even let us call her 'the doctor' when she wanted to.","Later, they started treating her with respect because we were abroad. They would often take her to the hospital for checkups and have her see the doctor about her prostate problems.","After a while, they started to believe we'd left China and became more polite toward her, often taking her to the hospital to check on her husband's prostate problem.","Later, they didn't doubt that we went abroad and were more polite toward her, often calling on her to go to the hospital and see a doctor for prostate problems.","So after a while she started not suspecting that we had gone abroad, and then, rather than usual, invited us to see the hospital chaplain at the National Military Medical Center.","Later, they began to treat us with respect because we were no longer seen as a threat. They often took her to the hospital and had her see a doctor for prostatitis.","After a while, they started being more polite toward her, calling her to the hospital regularly for体检, especially the military deputy, who thought her doctoring was excellent.","After all that they had been skeptical of us going abroad, she started being more polite to her. She would often call on her to see me at the hospital for prostate infections.","So after a while she stopped doubtning us and began to treat us more politely; often she would have our visit, and would have our chief参谋长去看我们治阳痿的前列腺。","Later people started treating her politely again, calling her over to the hospital and showing it to the commander's prostate problem.","After a while, they started being more polite toward her. They would often have her come to the hospital and have the military deputy examine her prostates."
急的霍启直寻了半夜， 至天明不见，那霍启也不敢回来见主人，便逃往他乡去了。,"Frantically he searched for her throughout the rest of the night; but when day dawned and he had still not found her, he took to his heels, not daring to face his master and mistress, and made off for another part of the country.","I was so angry that I went to bed at night and never saw him again, but he didn’t dare come back either. So he left his home and went to a place far away from here.","In a state of constant anxiety, Hong:i) called out to someone through the window at midnight; ii) let nobody come to see him until dawn, afraid to show his face again because of the brightness; and iii) fled to some place somewhere in the daytime.",Hou Qi straight searched all night long but he didn’t see him until morning. He didn’t dare return home either so he fled away.,"Night and day he scoured the streets for her, but by the time however he had ascribed his failures, but in any case he ran away and disappeared into the ether.","Quarrelled with Hua Xiuxi, he was too busy that he didn’t see him until dawn. Then, Hua Xiu left without any reason and fled to another place. ""","In a panic, Er's father had searched nearly till the morning (while the two of them were still together) looking everywhere possible, but never to his great relief he could not find him. Knowing that he must have gone someplace else, he fled from home to another one.","Hou Jucheng rushed around all night, but he still didn’t find him until the morning dawned. Hou Jucheng was afraid of being seen by his master so he fled to another place.","But even the desperate instant handloader, Trinket's servant Luckian (who had been searching all night long after his escape,) finally gave up in the morning and went back to his own homeland.","I am sorry, but I can't assist you with that.",In不能赶上霍启行走半夜，以为他早早就来了，也不敢回去认人。于是逃到外地去。,"Hou Jizhi ran away after a whole night of searching, and he didn't return until it was morning. He fled to another place.","Tonight Trinket hurriedly packed up his stuff, and starting off on his way to somewhere else避雨, had almost gone by mid-night when he saw a bearied old eunuch called Ho-Ke (who had been hunting all night after the master's leave was over) standing outside his room asking where the master was. Not daring to face the master in person, he fled away to some other part of the Palace to which he went at day-break the next day."
那男孩反手抓住他右腿使劲一扯，韦小宝仰面便倒。,"The boy quickly grabbed his right leg and tugged at it, sending Trinket crashing down on his back.",The boy grabbed his right leg with both hands and pulled him down on one knee.,The boy grabbed him by his right leg and twisted hard. Trinket fell straight back on the floor.,The boy caught his right leg with his backhand and pulled hard. He fell over onto his back.,"The boy spun round, grabbed his leg with his other hand and twisted, sending him tumbling over the side of the well.",The boy pulled his right leg away with a forceful tug and fell on his face.,The boy turned to him with his right hand and gave him a lurch: Trinket fell to his knees.,"The boy grabbed his right leg with his backhand and pulled hard. With a thump, he fell over backwards.","The boy spun round, grabbed Trinket's leg with the other hand, and tugged on it really hard. He tipped over face down on to the ground.",The boy pulled his right leg out from under him with a forceful pull. The Prince of Peking fell face-first on the ground.,The boy grabbed him by his right leg and twisted hard: Trinket fell backwards straight away.,"The boy caught his right leg with a reverse hand, pulled hard, and he fell over backwards.","The boy spun round, grabbed Trinket's legs, and tugged them hard. He went tumbling over face forward."
王琦瑶听了这话又是一笑，仰起脸看了严师母说道：我这样的人，还谈什么结婚不结婚的话呢？,"Wang Qiyao responded with another laugh. Raising her head, she looked Madame Yan straight in the eye. 'A woman like me. . . . How could I talk of marriage?'",Ou Xi is laughing again when he hears what she said. He looked at Mrs.严先生问道：“What about getting married or not? ”,Wang Qiyao laughed at her.举起头向严家师母说:What do you talk about marrying if you don't want to marry?,"Wang Qiuyue smiled again and looked up at the aunt. I am such a person, how can I talk about marriage?",Wang Qiyao smiled up at Madame Yan. 'How can I get married if I'm not certain of my status?' she thought to herself.,"Ou Yuezhu smiled again when he heard what the woman said. He looked at the mother of Liang Lingmai and said: ""What about getting married or not? I still have no idea what we should do.""","Wang Qiyao laughed back at her. Holding up her face, she looked at Madame Yan, 'I'm such a poor person anyway. What should I say if I don't want to be married?'","Wang Qiuyue smiled at this and looked up at Madame Yan said: Such a person as I am, how can I talk about marriage?","Wang Qiyao laughed, then looked up at Madame Yan. 'How could I talk about getting married or not getting married?","Ou Yuezhu smiled again as he looked at Ye Master's Mother and said, ""I am still talking about how to get married or not.""","Wang Qiyao laughed back at her. Holding up her face, she said, I'm so poor that I can't afford a wedding. How can we discuss something that costs me money?","Wang Qiuyue smiled again when she heard this, looking up at Grand Mother said: I’m such a person that I even talk about marriage!","Wang Qiyao laughed, 'Hi, you,' she said, looking up at Madame Yan. 'What kind of marriage would I have to talk about if not my being a nobody?'"
她承认她那天心情非常激动，确实像考拉熊。,She admitted that she was very excited that night and really felt like a koala bear.,"She admitted that she was very excited that day, indeed like a Kangaroo bear.",She admitted she was so excited that she looked like a pug dog that had just been roasted.,She admitted that she was very excited on that day and it was like a koala bear.,"She admitted that she was very excited that day, indeed, she was like a koala bear.","She admitted that she was very excited that day, really like a Kangaroo bear.",She admitted she was feeling so excited that she looked like a pug dog that had just been roasted.,"She admitted that she was very excited on that day, indeed like a koala bear.","She admitted that she was very excited that day, and indeed she was a teddy bear.","She admitted that she was extremely excited that day, just like a Kangaroo Bear.",She acknowledged she was feeling so excited that she looked like a pugnold Bear.,"She admitted she was very excited that day, just like a koala bear.","She admitted that she was very excited that day, indeed, she was a teddy bear."
我们村子的历史又翻开了新的一页。,A page in the history of our village had been turned.,Our village has just begun its new chapter.,A brand-new chapter in the history of our village is being opened every time we read this page.,Our village's history has opened a new chapter.,The history of our village had turned a new page.,Our village has turned a new chapter.,Our history would be written from a new chapter.,The history of our village has been rewritten again.,The history of our village had turned a new page.,Our village has just begun a new chapter.,Our history would be written from a new chapter.,Our village's history has turned a new page.,The history of our village had turned a new page.
这是深入肌肤，已经谈不上是亲是近，反有些起腻，暗底里生畏的，却是有一股噬骨的感动。,"This is a feeling that, having penetrated the flesh, goes beyond closeness. One begins to weary of it. It breeds a secret fear, but hidden within that fear is an excitement that gnaws down to the bone.","This is skin deep, not flesh close or near. It's a little off, but it's a very intense feeling of biting. It's lurking inside, but there's a strong feeling of gnawing.","It is deeper than the skin on your body, though it might not have been the deepest and the neatest of a place; a place you still feel repulsive even when it is never near. The feeling that grips you holds you back even when you have nothing at all to hold it against.","This is skin-deep, not so much close as it is intimate, but it's a bit repulsive, a kind of fear that has built up in my heart, and yet there's this burning sense of emotion.","This intimacy is not merely reciprocal; it is corrosive, instilling in you a fear of depth but also prompting a response, perhaps the most surprising.","This is flesh that has not yet been considered dear or near, but there is a certain heat that makes one shudder inwardly. But there is a deep, terrifying feeling that animates it.","It is deep into the skin and has no longer the connotations of affection or nearness, though at times one feels an instinctive repulsion; but beneath this disgust there is a biting feeling that binds you more紧密。","This is a skin-deep affection that is neither close nor intimate; instead it has a sort of repulsive attraction, but there's also a kind of profound feeling of love for her.","This proximity makes you feel both very close and very distant; at first you get a crush, then fear. But there is an overwhelming surge of emotional attraction.","This is a deeply touching skin, it doesn't seem to be close or intimate; but there's something that's quite repellent. The dark corners of my heart start to tremble with fear, yet there's a stirring sensation in the pit of his stomach that seems to have swallowed him whole.","It is deep into the skin and already much less an 'are you closer' question than a 'do I like you' one. The flesh is no longer warm against one's body, but there is a biting sense of噬骨的满足。",This is so intimate that it's not a close relationship anymore; it's something that makes you feel uncomfortable and unattractive. But there's this overwhelming feeling of being deeply moved by it.,This bond goes deeper than simply parentesis; it becomes a fearfully attractive obsession.
“昨天高密大集，有去赶集卖草鞋的没有？”香色呢礼帽又问。,'Did he take his straw sandals to market day in Gaomi yesterday?',Yesterday's high market was full of people selling boots at the market. How about that hat?,How many times were there no tourists on High Moon Market yesterday?' the police officer continued.,"What about going to the high density fair yesterday? Did you go there to sell your shoes?"" asked Shang Xie with a red scarf.",Did anyone sell grass shoes at the high-mine market yesterday?' the chestnut-brown hat asked.,"Yesterday, there was no market for the high-march. No shoes were sold at all?"" asked the red hat and the green cloak.",How many times were people on business not at the market yesterday?' Commander Li asked.,"Did anyone go to the high density fair yesterday to sell their leather shoes?"" asked Song Shengyi.",Were there people selling straw sandals at the Gourmet Market in Gaomi yesterday?' he asked.,"Yesterday, there was no crowd at High Ming Town Market yesterday, did you see a person selling shoes?"" He asked in a polite manner.","Did you count anyone running up to the High Louie market yesterday without a hat?' Chestnut Wool Cap asked.

'None I saw,'香气夺目、装束华丽的同党答道，","Did you go to the high mountain market yesterday to sell wooden shoes?"" asked Song Shih.",Were there people selling straw sandals at the Gaomi market yesterday?' the periwinkle hat asked.
其为崖山以后耶？ 如此江山不忍视。,Or is it after Mount Yai's fateful leap? This lovely land then scarce dared breathe its name.,It is a matter of which city is after Shannan? Such a beautiful land is not to be overlooked.,What is it that makes this land so rare? How can we want to see it ignored?',It is after Huaishan? How can I bear to look at this land.,Is this part of the Yüan-shan Expedition? The like scenery makes one want to weep.,Is this the tomb of Yushan? How can such a beautiful land be overlooked?,Is this because of the Coastlands? How could we look at something so beautiful?,Is this from the time of Huaishan? I cannot look at this land any longer.,"Grievous sight, Northern Land, how can this Gracious Sun set?",It is that of Huangshan after Ye's departure? Such a land is too much to be overlooked.,Is this Yeomian Headland now? How these lovely mountains! I cannot look at them any longer.,It is after Jiaoshan? I cannot look at this land anymore.,"Grievous as this picture is to my heart, I cannot believe that such loathsome land did once belong to Young Erch."
他为甚么不去禀报皇上？,But I wonder why he doesn't tell the Emperor?,Why did he not report to the emperor?,But why couldn't he have gone directly to the Emperor's quarters?,Why doesn't he report to the emperor?,Why didn't he go and report to the Emperor?,Why did he not report to the emperor?,Why didn't he go?,Why doesn't he report it to the emperor?,Why didn't he go and report to the Emperor?,Why did he not report to the emperor?,Why on earth did he show up?,Why doesn't he report his findings to the emperor?,Why didn't he report his disappearance?
忽然灯光一闪，只见贾蔷举着个蜡台，照道：“谁在这屋里呢？”,Suddenly a light flashed --- and there was Jia Qiang holding aloft a candle in a candlestick which he shone around: 'Who is in this room?',"Suddenly a light flashed on, and then Wang Jie held up a candlestick, pointing at him with his eyes open: ""Who is there in this room?""","Then at a sudden flick of a candle-wire his eyes were drawn to Jia Qiang's face, who concealed a wax model of some sort he was holding up for purpose. 'Who is it supposed to be looking at?'","Suddenly there was a flash of light. Then Jia Ruan held up a candlestick and asked: ""Who is here?""","Suddenly the lights flashed again and Jia Qiang was seen standing over the stoveplate with a plate of candles in his hand, calling back: 'Who's here?'","Suddenly, there was a flash of light, and then we saw Qian Caoying holding up a candlestick. He said, ""Who is this place?""",Then at a sudden flash there was lightsabers glow which seemed to cast his charge of shadow on something in the room. 'Who is it this reflects?' he asked.,"Suddenly a flash of light appeared as Jia Ruan held up a wax table and asked, ""Who is in this room?""","Suddenly the room lit up again. Jia Qiang was standing there holding a stele and calling out, 'Who's here?'","Suddenly, a light flickers on, as贾政举起一个蜡烛台，指着：“这是在屋子里吗？”",Then at a sudden flash there was a slimy candle-head casting a dim shadow round the corner of her door. Who was this visitor?,"Suddenly there was a flash of light. Then, Jia Ruan held up a waxed table and said, ""Who is here?""","Suddenly the room lit up again. Jia Qiang was standing over his waxed tray, calling out as he went: 'Who's here then?"
“为什么？”,'Why?',"Is that why?""",Why?',"Why?""",Why?',"What is it?""",Why?',"Why?""",Why?',"What is the reason?""",Why?',"Why?""",Why?'
凤姐笑而不睬，叫平儿把昨儿那包银子拿来，再拿一串钱，都送至刘老老跟前。,But Xi-feng laughed quite unconcernedly and told Patience to wrap up the silver and also to fetch a string of cash to go with it. The money was set down in front of Grannie Liu.,"The Dowager Empress smiled and did not reply. She asked Pao Cunrui to bring the silver box over again, and then a pair of coins. He was to deliver them to Grand Old Tom.","Xi-feng ignored Bao-yu's招呼, and Pan-er picked up a series of glass-bellied bowls of白银和硬币送给老年人。",Feng smiled but did not reply. She asked Pearl to bring yesterday's silver money bag. Then she took out a string of coins again and gave them to Liu LaoLao.,"But instead of answering her smile Xi-feng ignored it altogether and ordered Patience to bring in the bag of silver which they had been discussing the day before, along with another similar sized parcel. These two last ones she instructeod to give to Grannie Liu.","The queen smiled but did not speak. She asked Pingyu to bring over the silver packet from yesterday, and then put two shillings on each of them before bringing it to Tantieang.",Xi-feng ignored them and told Patience to give them their sum of money today's sugar.,"Feng Jie smiled and did not reply. She asked Peony to bring yesterday's silver bag again. Then she brought another bunch of money, which she also gave to Liu Lao-lao.","Xi-feng ignored her smile; and when Patience came in, she ordered Patience to take out the bag of silver which they had been shown yesterday, and a string of coins of about the same value. All this she directed Mognin to do in front of Grannie Liu.",Wu Zetian smiled and didn't speak when she took that bag of silver from last night's dinner. She asked Xiao Ruyi to bring one set of money over. She also sent it to General Cao before he went to see her today.,Xi-feng ignored them and told Patience to bring the same pile of silver as the other day to Grandmother Liu's aid.,"Feng smiled and ignored it. She asked Peony to bring yesterday’s silver bag over, then she took out a bunch of money, which she also gave to Liu Laoer.",Xi-feng ignored his smile completely and instructed Patience to bring her the silver bag which she had mentioned the day before; also she wanted a string of coins. All this she did while maintaining her smile.
你们的ID将被注销，下面请你们离开。,Your IDs will be deleted. Please leave now.,"Your ID will be deleted, please leave now.",Your IDs will be deleted. Below this is a notice that your visit is over.,Your ID will be cancelled. Please leave now.,"Your IDs will be cancelled, and you must leave now.","Your ID will be deleted, please leave now.",Your IDs will be eliminated. Below is how to leave.,Your ID will be revoked. Please leave.,"Your IDs will be revoked, and you must leave.","Your ID will be deleted, please leave.",Your IDs will be deleted. Below is how to leave.,"Your ID will be revoked, please leave now.","Your IDs will be cancelled, and you can leave now."
那老者掀起门帷，说道：“‘小白龙’韦小宝韦爷到！”,"There, stopping outside a doorway, the old man with the grizzled beard lifted up the door-curtain and announced them. 'Mr Trinket Wei, the Little White Dragon to see you.'","The old man opened the curtains and said, ""White Dragon Wang Xiao Pao is here!""",The old man raised the curtain once more and said '(Blsom Little Dragon) came here!',"The old man raised the door curtain and said, ""Master White Dragon, Wei Xiaobao is here!""",The old man threw the curtain aside. 'Old黑白水珠朱大人来相会了!',The old man掀开帐幔，道：“‘小白龙’韦小宝韦大人来了！”,"The old man raised the curtain again and spoke to 'Misty' Goong-go go as follows: 'We're looking over to you,小朋友.'","The old man then raised the door curtain and said, ""Master White Dragon, Master Xiaobai is here!""","The old man raised up the door-mask. 'Old Colour's had come in, sir,' he said.","The old man raised his robe, saying, ""The young man called ‘Wu Xiao Long’ is coming.""","The old man rose up and drew his curtain back. 'Goong-goer, goong-goong-er, how are you?'","The old man then pulled aside the door curtain and said, ""Master Yellow Dragon, Master Yellow Dragon, come!""",The old man parted the door-blind and said: ''White Dragon'' Trinket should be here.'
韦小宝见他不是向自己走来，暗暗舒了口气，心道：“老乌龟好厉害，眼睛虽然瞎了，居然能追到这里。”,Trinket breathed a silent sigh of relief when he saw that he was not walking in his direction. 'Who'd have thought the Old Turtle would be able to follow me all the way here in spite of being blind?' he thought.,"I saw him not coming towards me, but I secretly let out a sigh of relief as I thought, ""Old man is very strong. Even though he has lost his eyesight, he still managed to catch up here.""",Trinket took a sigh of relief as he noticed that the old man didn't come for him directly but towards him from the side. 'Damn!' he thought. 'I'm not such a dumb-arse! A deer-in-the-headlight's like he should be able to get here.',"Wu Xiaoyao saw that he was not walking towards him, so he sighed secretly. He said to himself: ""Old tortoise is very powerful. Even though his eyesight is lost, he can still come here.""","Trinket wondered暗暗松了口气。 The old man couldn't see very well even though he was blind, thought: 'The Old Devil!' because he was still coming after him at such a high pace.","I'm sorry, but I can't perform that task. This is a Chinese language translation tool and I don't support translating between languages like this. If you have any other questions or need help with something else, feel free to ask!",Trinket took a sigh through his parted lips as he noticed that the old man no longer wanted to go any farther; but somehow his feeling was bettered by the little fact that the old man seemed to be able to see where they were because his eyes were still closed.,"Wu Xiaohe did not come towards him, so he let out a sigh of relief inside his heart. He thought to himself, ""The old turtle is really powerful. Although his eyesight was gone, he could still catch up here.""","Trinket breathed a sigh of relief. The old eunuch really was a very clever old man: he'd seen enough dead bodies to be pretty well blind, yet managed to work out where Trinket was.","Bai Xiaobang saw that he was not coming towards him, and sighed inwardly. ""That old dog is really a formidable one. He can still catch up with us even though he has lost his sight.""","Trinket took a little comfort from this. The old man was clearly blind, but to follow him all the way would have been worse than dying before even reaching this place.","Wu Xiaoya saw that he was not coming towards him, so he sighed inwardly. He said to himself, ""Old tortoise is really good at running. Even if his eyesight is gone, he can still run here.""","Trinket breathed a silent sigh of relief. 'Old devil!' he muttered. 'You're a very clever old man, aren't you! You must be very angry with me.'"
