index,chinese,english,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned),unsloth/Qwen2-7B-Instruct,gradientai/Llama-3-8B-Instruct-Gradient-1048k
10,只是朝代年纪，失落无考。,All it lacked was the authentication of a dynasty and date.,"Theenchanted mountain saw its own dynasty as it vanished into the vast beyond, lost and forgotten.","It's just the age of a dynasty, and its loss is unknown.",Based on chronological order. No further investigation.,"Only the dynasty's age, lost without examination.","end_header_id|>

Translation: Only the dynasty and the age are lost without being investigated."
11,贾瑞急的也不敢则声，只得悄悄出来，将门撼了撼，关得铁桶一般。,"Alarmed, but not daring to make a sound, Jia Rui stealthily crept out and tried it. It was locked—as tight as a bucket.","Jia Rui, however, who had also cowered, could not get out any more. He made a noise with his shoulder, but secretly managed to shake the gate off its hinges and thrust it shut as though closing over a large pot.","Jia Rui was so anxious that he dared not make a sound, and had no choice but to quietly come out. He shook the door and closed it tightly like a pot of iron.","At the touch of disappointment Jia Rui became so frightened that he left without making a sound and slipped back to his room, closing the door so violently that it sounded as though one of the pillars had broken.","Jia Rui, flustered and unable to speak, could only quietly step out. He shook the door, but it was as tightly locked as a barrel of iron.","end_header_id|>

Jia Rui was so afraid that he couldn't even make a sound, and could only quietly push the door open and close it with a sound like iron.</s>"
12,因问贾环：“你输了多少钱？”,How much did you lose?',But what has won you a big fat bunch of money?',"Because he asked Xiao Heiron, ""How much did you lose?""","But he asked Jia Huan, 'How much did you bet on?'","And he asked Jia Huan, ""How much did you lose?""","end_header_id|>

The question asked was ""How much did you lose?""</s>"
13,“不推荐了？”,'There's no need for recommendations anymore?',"No, don't recommend?'","Isn't it recommended?""",我不推荐了?',"Recommending against it?""","end_header_id|>

""Do you not recommend it?""</s>"
14,叶文洁站在她身边，摸摸她的额头、脸和手，都是冰凉的，其实文洁在进门后就注意到了写字台上倒放着的那个已空的安眠药瓶。,"Wenjie stood next to Ruan and gently caressed her professor's forehead, face, and hands—all cold. Wenjie had noticed the empty sleeping pill bottle on the desk as soon as she came in.","Ye stood next to her. Massively rubbing the baby-pot on her forehead and neck, she felt icy hands and eyes. In fact, she had noticed that the pill-p桶 was always lying on the desk after the meeting.","Ye Wenjie stood beside her, touched her forehead, face and hands, which were all cold. In fact, Ye Wenjie had noticed the empty sleeping pill bottle lying on the desk when she walked in.","Ye stood next to her, resting her hand on her forehead, face, and arms. Her body was cold, even though she had been touching her. In fact, as soon as she entered the room, Ye had noticed the empty medication bottle standing up on the table.","Ye Wenhui stood by her side, touching her forehead, face, and hands, all of which were cold. In fact, Wenjie had noticed the empty sleeping pill bottle overturned on the desk after entering the room.","end_header_id|>

Leafy Wenyue stood beside her, touching her forehead, face, and hands, which were all cold. She had noticed the empty sleeping pill bottle on the writing desk as soon as she entered.</s>"
15,大人说不是；孩子又问：他们是敌人吗？,"The adult says no. The child asks, 'Are they enemies?'","The adult says they aren't. But the child asks, 'Are they enemies?'","The adults said no, but the child asked: Are they enemies?","The adult replies that they're not enemies; but the child asks, 'So they're not enemies?","The adult replied, ""No."" The child then asked, ""Are they enemies?""","end_header_id|>

The adult said not to worry, but the child asked if they were enemies."
16,一面说，一面就站起来了。 刘老老只是千恩万谢的，拿了银钱，跟着周瑞家的走到外边。,"She rose to her feet, and Grannie Liu, with heartfelt expressions of gratitude, picked up the money and followed Zhou Rui's wife out of the room.","She rose to her feet as she spoke and went with Grannie Liu, holding on to her dear boy until she reached Zhou Rui's wife's house.","As he spoke, he stood up. Liu Lao just said ""thank you"" and took the silver coins, followed by Zhou Ru's maid outside.","As she spoke, she rose to her feet. Grannie Liu thanked her with all the gratitude that could be shown; took the money and silver, and followed Zhou Rui's wife outside.","As she spoke, she got up. Old Lady Liu kept thanking her a thousand times, took the silver and money, and followed Mrs. Zhou out to the outer area.","end_header_id|>

One moment, they were talking, and the next, they were both standing up. Liu Lao bowed deeply, thanking them profusely and took the silver money before following Zhou Rui's family outside.</s>"
17,不过属下胆大妄为，事先没向韦香主请示，擅自将小郡主带进宫来，给韦香主增添不少危险，不少麻烦，实在该死之极。”,"Of course, it was rather a nerve, taking it on myself to bring the Little Countess in here without consulting you. It means a lot of danger for you, Master. And trouble. I deserve to be hung.'","However, as yet there was no occasion for this sort of action, and theuder had未经韦小宝同意，私自将小郡主带到宫里，让韦小宝身边多了个敌人，更增加了许多危险和麻烦。","But I, being reckless and presumptuous, did not ask the Lady Wei for permission before bringing the little princess into the palace, which only added danger and trouble to the Lady Wei, who was already quite troubled. It is most reprehensible.”","However, as I was bold enough to go冒险， I didn't ask Hervey about it first. I took the郡主进宫， which was a serious mistake because it was dangerous and inconvenient enough just for one person, let alone two!'","But my subordinate was rash and daring; I did not seek事先permission from Chief Wei before bringing the young princess into the palace, thereby adding considerable danger and trouble for Chief Wei. It is truly despicable of me.","end_header_id|>

However, it was impudent and foolish of him to take the initiative to bring the little princess into the palace without seeking permission from the Princess. This has caused a lot of trouble and danger for the Princess, and he deserves to die for his arrogance.</s>"
18,“您能…… 说具体些吗？”,'Can you ... be more specific?',Can you explain what—?',"Can you be more specific?""",Can you be more specific?',"Could you... be more specific?""","end_header_id|>

""Can you provide more specific information?""</s>"
19,是以贾环等都不甚怕他，只因怕贾母不依，才只得让他三分。,The latter – Jia Huan included – reciprocated with a healthy disrespect only slightly tempered by their fear of his doting grandmother.,This was because Jia Huan wasn't very afraid of Wang Xi's; he only became afraid when he heard Her Ladyship tell him that she wouldn't accept his share.,"Since none of the boys were very afraid, only out of respect for his mother did they allow him a little more than he deserved.","So though Jia Huan and the others didn't fear her, they feared that Jia Lu Liuli would take their word for it, and should go to her and ask her what she thought, so they caved in slightly to her demands.","Therefore, Jia Huan and the others weren't very afraid of him; they only refrained from him a little out of fear that Grandma Jia wouldn't agree.","end_header_id|>

I am not afraid of Jia Huan at all, but I fear that Jia Mu will not agree, so I can only give in to him by a little bit.</s>"
20,到潮退时我也安息，但潮兴时要乘兴而舞。,"When the wave receded, I would rest calmly, but I wanted to dance while the wave was at its peak.","I rested when the water retreated, but got excited about going out again and dancing at any time.","To rest when the tide recedes, but dance with enthusiasm when it is high.","If the tide returned while I was asleep, I would yourself continue to dance until it receded.","And when the tide recedes I lie at rest, but when it rises I dance with the surge.","end_header_id|>

When the tide goes out, I rest. But when the tide comes in, I dance with joy.</s>"
21,钱老板接了过来，在猪背上一划，没料到这匕首锋利无匹，割猪肉如切豆腐，一剑下去，直没至柄。,"Butcher Qian took it from him and made an incision in the back of the pig's carcass. Unaware of the blade's incomparable sharpness, he was somewhat surprised at the ease with which it sank in, at once burying itself up to the hilt and slicing through fat and flesh as if it were bean curd.","Butcher Qian took the weapon both ways and drew the dagger across its blade. Unbeknownst to him, the blade was so long and sharp that it cut the生猪的皮肉如同切碎了豆腐一样进得猪腹中去,一点都没有损坏。","Mr. Quan took it and, with one cut on the pig's back, didn't expect that the knife was as sharp as a razor; he cut through the pork like butter. With one stroke, it went all the way down to the hilt.","But he hadn't counted on the dagger's exceptional sharpness; it cut the meat as though it were rubbly bread, and in seconds ridged the entire back of the chop to the handle.","Mr. Qian took it over and slashed it across the pig's back. He didn't expect the dagger to be so sharp; it cut through the pork like cutting tofu, slicing all the way down to the hilt.","end_header_id|>

The boss took the knife and sliced the pig's back without expecting the blade to be so sharp. The knife cut through the meat like butter, all the way to the handle.</s>"
22,斯坦顿上校轻蔑地说，同时开始点雪茄。,"Colonel Stanton said contemptuously, as he lit his cigar.","Colonel Stanton said he was reading a book, then lifted another cigar.","Stanton, the colonel, said with a sneer as he began smoking his pipe.",Colonel Stanton spurned her offer and began lighting his cigars.,"Colonel Stonewall drew himself up disdainfully, and began to light his cigar.","end_header_id|>

Stanford, the Colonel, sneered while lighting a cigar.</s>"
23,山上有一股风，无声无息地吹下去。 天地间充满了悲惨的气氛。,"A current of wind slipped down the mountain without a sound, without a breath, and a sadness in the air filled every space between the sky and the earth.","There was a wind running free on the mountain, whose actions quiet and gentle never left its field. The world around grew gloomy with sorrow.","There is a wind on the mountain, it blows silently and steadily down. The atmosphere of the world is full of sorrow.","A breeze blew on this earth, never having made a sound or noise of itself; and down the mountains went, carried on by that wind, a message of pain and suffering.","There was a wind on the mountain, blowing down silently. The atmosphere between heaven and earth was filled with a tragic mood.","end_header_id|>

On the mountain, there is a breeze that blows silently down. The atmosphere is filled with a tragic mood.</s>"
24,说着便令人送女儿进去，自携了雨村来至书房中，小童献茶。,"So saying, he called for a servant to take the child indoors, while he himself took Yu-cun by the hand and led him into his study, where his boy served them both with tea.","So saying, he instructed one of the servants to carry Zhou Xiang's daughter into the study and took him back to his own quarters in the same lot. He himself poured out some tea.","He then had the girl sent in, and brought Mr. Rain back to the study, where a servant presented him with tea.","She ordered one of the servants to take her daughter inside while she accompanied Yu-cun into the study, where they were presented tea by a young servant.","And then, instructing someone to bring his daughter in, he led Yu Chong into the study, where a page offered them tea.","end_header_id|>

Saying so, the father sent his daughter inside, while he followed with his umbrella to the study. The child brought tea."
25,宝玉笑道：“只从那个月见了你，我叫你往书房里来，谁知接接连连许多事情，就把你忘了。”,"'After I invited you round to my study that day,' said Bao-yu, 'a whole lot of things seemed to happen one after the other, and I'm afraid I quite forgot about your visit.'","Well, I can tell you about me from the month before this when we saw each other on the moon, but all I can say is that many adventures had gone by the time I got round to telling you.'","Jade said, ""Since I saw you that month, I sent for you to the study room and didn't know what would happen next.""","Didn't you know? When you were here the other day, my name came up so frequently that you practically forgot me!'","Bao Yu smiled and said, ""Ever since that month when I asked you to come to the study, I've been caught up with a string of things and forgot all about it.""","end_header_id|>

I forgot to tell you that I saw you at the moon and called you to come to the study room. But then, many things happened in a row and I forgot about it.</s>"
26,萨克斯管里夹带着唱片的走针声，嘶嘶的，就有了些贴肤可感的意思。,"The sound of the saxophone, mixed with the hissing sound of the needle against the vinyl, gave him a feeling of an almost palpable intimacy.","The saxophone headphones carried the faint sounds of needle sewing with you—whatever the song was, the sound would always feel familiar.","The saxophone is humming, like a needle on a record spinning inside it, which gives the impression of something intimate and personal.","The saxophones squawked as though twisting springs, giving the album a certain texture.","The sound of the needle on a record, mixed with the saxophone, hissing, began to have a tactile quality.","end_header_id|>

The sound of the needle scratching on the record in the saxophone carries a certain intimacy, almost like a whisper."
27,他怎么又跑出这么个侄儿来了呢！”,"Where she would come by a nephew like this one, I just do not know!'",How could you send your nephew out here on such a whim?',"How could he have another nephew running out of it like that!""",Now I hear about this new cousin of yours who's running around everywhere!,"How did he manage to sire such a nephew?""","end_header_id|>

He suddenly had a nephew show up out of nowhere!</s>"
28,你说么，这几年不见，我就忘了。,"It's so many years since I saw you last, I'd forgotten all about you!",How about four years? I have forgotten you for four years.,"You say, I haven't seen you for several years now; I've forgotten all about it.",What do you want me to say? I haven't forgotten.,"You know, a few years apart, and I've forgotten.","end_header_id|>

Yes, I haven't seen you for a while, so I forgot.</s>"
29,斯坦顿的步话机响了起来。,Stanton's walkie-talkie squawked.,Soldier Stanton buzzed around his circle and picked up the radio.,The talky at Stantown sounded off.,A walkie-talkie belonged to Sergeant Stanton.,Stonewall's radio crackled.,"end_header_id|>

Stan's footstep machine rang."
30,“就是上大学呀！,'The National College Entrance Exam!,I want to get into college!,"Study at college!""",University!,"Isn't that going to college!""","end_header_id|>

It's time to go to college!"""
31,“既然是叶老师交待的，就观测吧，反正也不费劲，百分之一的精度。 用老古董COBE就行了。”,"'Well, since Professor Ye asked me to help you, let's do the observation. It's not a big deal. If you just need one percent precision, data from the antique COBE is sufficient.'","If the叶老师所讲的就是真的维多利亚号数据,那就观察吧。不费力,也不浪费,我们只用老古董COBE就能得到百分之一点的精度。'","Since it's the teacher, let's observe. It won't take much effort anyway. We can use the old COBE.","Well since it's from Professor Ye, we can observe it too. It shouldn't be too difficult, and even if the accuracy is only one percent, COBE should be able to do the job.'","Since it's Professor Ye's instruction, let's proceed with the observation. It's not a strain anyway, just 1% accuracy. We can use the old COBE satellite for this.""","end_header_id|>

""Since it's what the teacher has instructed, let's observe it anyway. It won't take much effort and the precision is only one percent. Using the old COBE will do."""
32,夫妻二人半世只生此女，一旦失去，何等烦恼，因此昼夜啼哭，几乎不顾性命。 看看一月，士隐已先得病，夫人封氏也因思女构疾，日日请医问卦。,"The shock of so sudden a loss to a middle-aged couple who had only ever had the one daughter can be imagined. In tears every day and most of the night, they almost lost the will to go on living, and after about a month like this first Shi-yin and then his wife fell ill, so that doctors and diviners were in daily attendance on them.","In their day together they had brought up the girl, but since then she has lost all capacity for them and their whole existence has been a misery-tingly one. They cry night and day, yet when their wife, Qian Xi-feng, has every opportunity of recovering, she goes straight to the doctor and gets her treated.","The husband and wife had only one daughter for half a lifetime, and now that she was gone, what kind of trouble would they have? They were crying day and night, almost ignoring their lives. Looking at the month, Mr. Xue has already got sick first, and Mrs. Fan has also been ill due to thinking about her daughter, so she is constantly asking doctors and consulting divinities every day.","The parents of this illegitimate child had, throughout their married life, bred the girl with unmeasured love and devotion; now, suddenly deprived of its last bearer, was struggling with the most extreme distress. The weeping over the loss of this beloved child affected the parents so keenly that it contrived to aggravate their own ill health. Daily visits were made to the best physicians in town and to all kinds of astrologers, but without the slightest apparent effect.","The husband and wife had only this daughter in all their years together, and the loss of her brought them such distress that they cried day and night, nearly ignoring their own lives. After a month, Shih Yin had already fallen ill, and his wife Feng Si's condition had also deteriorated from her grief for their daughter, as she sought daily medical advice and consulted the oracle.","end_header_id|>

The couple had only one daughter in their entire lifetime, and once she was gone, they were consumed with grief. They cried day and night, almost to the point of neglecting their own well-being. After a month, the husband had fallen ill, and the wife, consumed by thoughts of their daughter, was constantly seeking medical advice.</s>"
33,皇帝和大官都很残忍，心里不喜欢谁，就说他犯了罪，把他放在鼎里活活煮熟。,"Those ancient Emperors and great ministers were very cruel. If they didn't like somebody, they would pretend that they had committed some crime or other, and then they would put them in a cauldron and boil them.","The Emperor and the Ministers were all too残忍, and when they heard that someone had been acting strangely, they would say that they had been deceived and accuse him of having committed a crime and burning alive right on the pottables.","Emperors and high officials were cruel, and if they disliked someone, they would put him in a pot of boiling water to cook alive.","If a man was unliked by the rulers, they would accuse him of a fault for which there was no punishment, and he would be boiled alive in a cauldron.","Emperors and high officials were both cruel. If they did not like someone, they would claim that person had committed a crime and have them boiled alive in a cauldron.","end_header_id|>

Emperor and high officials were very cruel. If they didn't like someone's heart, they would say he committed a crime and put him in the cauldron to boil alive.</s>"
34,若迟了一步，回事的人多了，就难说了。,"If we delay a moment longer, people will start coming in with messages and we shan't have a chance to speak to her.","If there were too many delays, there would be trouble.","If we're a step behind, things might get out of hand.",Suppose something were to happen while I was delayed? Then it might be different.,"If we're too late, there will be too many people involved, and it could become unpredictable.","end_header_id|>

If you're late by even one step, there will be many people who have already done it."
35,我的一边肩膀正好和陈清扬的腰等宽，记得那时她的脸红得厉害。,Her waist was exactly the width of my shoulder. I remember her face turning deep red then.,"My upper back was just the right fit for Chen Qingyang's waist, memory telling me then that she was red with blush.","My left shoulder was just as wide across as Chen Qingyang's waist, and I remember how red her face had been then.","My shoulder was the same width as Chen Qingyang's and, at the time, her face was a bright red.","My shoulder was exactly as wide as Chen Qingyang's waist, and I remember her face was flushed at that time.","end_header_id|>

My shoulder was perfectly aligned with Chen Qingyang's waist, and I remember her face was bright red at that time.</s>"
36,真正的现在的它是在废墟上建立起来的悲喜参半的忧乐园。,"It was now a sorrowful paradise, a monument to both grief and joy, built upon ruins.","It is a joy to create here, a悲喜参半的游乐场。","The real present is built on ruins of sorrow and joy, a mixed-up paradise of sadness.",What actual present-day Shanghai is built on top of rubble produces a mixture of joy and pain.,"The true Now is a bittersweet Paradise Lost, built upon the ruins.","end_header_id|>

The true present is a melancholy garden built on ruins, half joy and half sorrow.</s>"
37,宝玉便说：“打宝姐姐那里来。”,'Bao-chai's.',"Where have you been, Bao-yu?' said Bao-chai.","Jade said, ""Where did you come from at Fuxi's?""",Where did you get the idea that I was playing bao with Aroma?' said Bao-yu.,"Jade said, ""Where did you come from, Auntie Pearl?""","end_header_id|>

The gem said, ""Go get the treasure from the jade sister.""</s>"
38,于是她紧紧地抱住我。,Then she embraced me tightly.,So she wrapped her arms around me.,And she hugged me tightly.,So she hugged me tightly.,And she hugged me tightly.,"end_header_id|>

Then she tightly hugged me."
39,你且去，等到晚上起了更你来，悄悄的在西边穿堂儿等我。”,"Go away now and come hack later when it's dark, at the beginning of the first watch. You can slip into the gallery west of this apartment and wait for me there.'","Go to your place, when there's is a storm like this, and you'll get out at about dusk. Hide yourself in the west wing of your house, and I will wait outside.'","Go, and wait till the night comes on; then come quietly to the back stairway and wait for me.""","Wait here. When night falls, wait for me there. Then go quietly to the side entrance and wait for me there.'","Go now, and wait for me at the west passageway after the night watchman's shift has begun in the evening, quietly.""","end_header_id|>

You go, wait until it's late at night and come quietly to the west wing to wait for me.</s>"
40,王琦瑶到家后，她母亲已炖了鸡汤和红枣桂圆汤，什么话也没有地端给她喝，也不看那孩子一眼，就当没这个人似的。,"When Wang Qiyao came home the next day, her mother had already prepared a pot of chicken broth and the customary bowl of soup with red jujube and longan, which was supposed to be so nourishing for new mothers. She handed the bowl to her daughter in silence. She did not bother to even look at her granddaughter; it was as if the child did not exist.","By the time Wang Qiyao got home, her mother was already making rice tea and red almond cake tea without asking. When they were both empty-handed, she tacitly assumed that she must have forgotten someone and went off to do some other errand without answering their request.","After Wang Qi'er returned home, her mother had prepared chicken soup and jujube and lotus root soup. She just served it up for her without a word of greeting or any look at the child.","Upon her return home, Wang Qiyao found soup already prepared by her mother: chicken soup, along with a spoonful of rice wine-soaked ginger and raisins. Her mother served it without a word, looking as though she was preparing to ignore the new arrival entirely.","After Wang Qi'er arrived home, her mother had already prepared a chicken soup and a decoction of dates and longan for her, serving it to her without a word, not even glancing at the child, as if there was no such person present.","end_header_id|>

After Wang Qi Yao arrived home, her mother had already cooked chicken soup and red dates soup for her. She didn't say a word to her and didn't even look at her, as if she didn't exist.</s>"
