chinese,english,unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned),unsloth/Qwen2-7B-Instruct-bnb-4bit,unsloth/Qwen2-7B-Instruct-bnb-4bit(finetuned),gradientai/Llama-3-8B-Instruct-Gradient-1048k,gradientai/Llama-3-8B-Instruct-Gradient-1048k(finetuned),unsloth/Qwen2-7B-Instruct,unsloth/Qwen2-72B-Instruct-bnb-4bit,unsloth/Qwen2-7B-Instruct(finetuned),unsloth/mistral-7b-instruct-v0.3,unsloth/mistral-7b-instruct-v0.3(finetuned),unsloth/Qwen2-72B-Instruct-bnb-4bit(finetuned)
父亲腰里的左轮手枪硌着爷爷的背，爷爷心里一阵巨痛。,"The pistol in Father's belt banged against Granddad's back, sending sharp pains straight to his heart.",The father's left-handed revolver is poking his back with a thick line of pain.,The left hand of Father's rifle drove a pain into his back.,"The revolver on my father's left hip was pressing against my grandfather's back, which caused him a great deal of pain in his heart.","The pistol jangled against Granddad's back, and a deep pain pierced Father.","The left-handed revolver in Father's waist was pressing against Grandfather's back, causing a profound agony in Grandfather's heart.","The pistol in Father's belt rubbed against Granddad's back, causing him to wince in pain.","Father's left-hand gun is pressing against grandfather's back, causing grandfather to feel a sharp pain in his heart.","The butt of Father's pistol dug into Granddad's back, and he groaned in agony.","The left-handed revolver in Father's waist was pressing against Grandpa's back, causing a剧烈 pain in Grandpa's heart.","The revolver in Father's waistband was digging into Grandfather's back, causing him immense pain.","The pistol in Father's belt rubbed against Granddad's back, hurting him badly.","Father's holstered left-handed revolver pressed against grandfather's back, grandfather felt a massive pain in his heart.","The pistol holstered at Father's belt slipped downwards, causing Granddad to cry out in pain.","The revolver at Father's belt scraped against Granddad's back, causing him excruciating pain."
父亲当时还不知道打伏击是怎么一回事，更不知道打伏击为什么还要扛上四盘铁齿耙。,"Father still didn't know what an ambush was, and even if he had, he wouldn't have known why anyone would take four rakes to the event.","The father did not know what was going on when it came to ambushes, and he did not know why they had to carry four sets of teeth plows.",Father didn't know what réserve there was to be had by a boy like him taking on avenge missions; all he knew was that carrying a bunch of teeth from a local quarterm trưởng was fun.,"His father didn’t know what a ""cavalcade"" was at that time, nor did he understand why it was necessary to carry four pairs of iron ploughs for this sort of operation.","Father hadn't known what a trap was, much less why trawling for targets required four sets of pick-ups.","At the time, Father didn't know what a ambush was, nor why one would carry four pronged forks for an ambush.","And he had no idea what a ambush was, let alone why we needed to carry iron-toothed plows with us everywhere we went.",Father did not know what it meant to ambush someone back then and did not know why he had to carry four iron shovels.,"He had no idea what a ambush was, let alone why they had to carry four iron rakes.","At that time, Father didn't know what a surprise attack was, nor did he understand why one would carry four pronged forks for a surprise attack.","Father, at that time, didn't know what an ambush was, let alone why they had to carry four rounds of iron-toothed rakes for it.","And he had yet to learn how ambushes were carried out, or why we had to carry four iron-toothed sickles with us everywhere we went.","Father didn't know at the time what a counterattack was, let alone why he had to carry four iron-toothed hoes for a counterattack.","He had no idea what a counterattack was, or why it required carrying four iron kegs on one's back.","Father didn't know what 'ambush' meant, or why we needed to bring four toothed iron rakes."
刘老老道：“阿弥陀佛! 这全仗嫂子方便了。”,"'Bless you, my dear, for being such a help!' said Grannie Liu.","Ah, Lord Buddha! This is all because of your kindness to me.""","Totally, totally, with your help,' said Grannie Liu.","Liu Longlong Daoist Priest said, ""Amechita Buddha! This will depend on Sister's kindness.""","I thank you with all my heart,' said Grannie Liu. 'May Amitabu protect you!'","Mrs. Liu said, ""Amitabha! This is all thanks to your kindness.""","Oh, thank you, thank you!' said Grannie Liu. 'Just to be able to trouble you so...'","""Ahimsa! This is all thanks to my wife's kindness.""","'Ah, Mother of Mercy!' said Grannie Liu. 'It's all thanks to you, Mrs Lian.'","Grandmother Liu said, ""Amitābha! This is all thanks to your kindness.""","Liu Laolao said, ""Amitabul! It's all thanks to Sister-in-law's help.""",Amen!' said Grannie Liu. 'I know I can rely on you to do the right thing.',"Amitabha Buddha! Thank you, Auntie, for your help.""","Ah, Holy Name! You have no idea how much your kindness will be appreciated!'",Amen!' said Grannie Liu piously. 'It's all thanks to you.'
钱老板道：“正是。 沐王府小公爷的嫡亲妹子。,"'Young Lord Mu's little sister,' said Butcher Qian.","Money said, ""Indeed. The daughter of the heir to the small Prince of the Mu family.""","Well, indeed,' said Butcher Qian. 'The wife of a Lord Mu of the Malakat family.","Mr. Qu said: ""That's right. Lady Mo's own daughter.""","That's right, Master Butcher,' said Butcher Qian. 'The little count's eldest daughter.","Mr. Qian said, ""That's right. She is the legitimate younger sister of Prince Young of Mu王府.""","Her Majesty's youngest daughter, Their Lordships the Mu Countesses' younger sister.","""Ah, yes. She is the legitimate niece of the Prince of the Wang Mansion.""","'Yes,' said the butcher. 'The Little Countess Mu. She's the Lord Mu's eldest sister.","Mr. Qian said, ""Indeed. She is the legitimate younger sister of Young Master Xiao of the Mu王府.""","Indeed,"" said Boss Qian. ""She is the younger sister of the legitimate son of Prince Mu's Manor.""",Yes. She's the real countess. Her father is the Duke of Mu.,"The text is: ""钱老板说：“正是。 沐王府小公爷的嫡亲妹子。""

Translation: ""The boss said: ""Yes, it's the legitimate sister of the young master of the Su Wang Fu.""","That's right,' said Butcher Qian. 'The Mu Family's little step-daughter.","Yes,' said Butcher Qian. 'The real younger sister of the Mu Family's Little Marquis."
因为破鞋偷汉，而她没有偷过汉。,"Because, to be damaged goods she had to have cheated on her husband, but she never did.","Because she broke shoes in Han, she did not steal in Han.","Because she had become a damaged goods and hadn't been dating anyone, she didn't qualify as a sex maniac.",Because a tramp steals a man's woman but she has never stolen a man's woman.,"Because a damaged goods woman had slept with another man, I hadn't.",Because she cheated on her husband while the other woman didn't cheat on hers.,"Because she was damaged goods, and he was a man who had cheated on his wife, and she hadn't cheated on anyone.","Because she stole shoes, but she did not steal a man.","Because I was damaged goods, having been caught cheating, she said. But I hadn't cheated on my husband.",Because she cheated on her husband while the other woman didn't cheat on hers.,"She's being called a slut for infidelity, but she has never been unfaithful.","Because damaged goods cannot take another man's husband, and she hadn't cheated on her husband.","Because she stole shoes, not rice. She hasn't stolen rice.","Because damaged goods steals men, but she hadn't stolen any men.","That was because damaged goods slept with other men, and she had never done that."
奶奶对我父亲说：“豆官，听你干爹的话。”,"'Douguan, mind your foster-dad,' she told my father.","The sentence you provided is in Chinese. Here is its translation in English:

""My father told me, 'Baoqian, listen to your father's words.'""","Grandma told me that 'Douguan', by your father's side, had a great friend.'","Grandma told my father, ""Dongguo, listen to your uncle.""","Meldar, listen to your father,' Grandma said to Father.","Grandmother told my father, ""Douguan, listen to your foster brother.""","Douguan,' she said, 'listen to your old pal.'","Grandma said to me, ""Listen to your dad.""","'Stove, do what your father tells you.'","Grandmother told my father, ""Douguan, listen to your foster brother.""","Grandma said to my father, ""Doudou, listen to what your godfather says.""","He'll be all right, Douguan,' Father told her. 'Just do as he says.'","Grandmother said to my father: ""Uncle, listen to your father-in-law.""","Douguan,' she said, 'go get your father.'","Listen to your godfather, Douguan,' she told my father."
我在他们那里大受欢迎。,I was very popular there.,I am well received here.,I was popular there as well.,I'm very popular there.,I was very popular there.,I was very popular among them.,I was very popular with them.,I was warmly welcomed by them.,I was very welcome there.,I was very popular among them.,I was very popular with them.,I was very popular with them.,I am well-received there.,I was very popular with them.,I was very popular with them.
香色礼帽怒气冲冲地喊。,Chestnut Wool Cap barked out angrily.,"The color of the hat is angry, shouting.","Chestnut Wool Cap rushed out of step, calling back at them.",The angry man wore a red hat and shouted.,Chestnut Wool Cap roared at her.,The purple-tinted top hat shouted furiously.,Chestnut Wool Cap was furious.,The fragrant perfume hat shouted angrily.,Chestnut Wool Cap was angry.,The fragrant-colored top hat shouted furiously.,"The fragrant, colored hat shouted furiously.",Chestnut Beret was furious.,Red-colored top hat shouting angrily.,Chestnut Wool Cap was angry. He shouted back.,Chestnut Wool Cap shouted furiously.
刘老老感谢不尽，仍从后门去了。,"And so, with many expressions of gratitude, the old lady took her leave and set out once more through the back gate of the mansion.","Tao Ling is grateful for everything he has received, still going through the back door.","Grateful for their compliment, Old Geng went through the back gate.","Mr Liu thanked him again and again, but still went through the back door.","Grannie Liu thanked him all the while, and making a dash through the back gate went off.",Liu Laolao thanked him profusely before leaving through the back door.,Grannie Liu thanked them both profusely and slipped out of the gate at the back of the yard.,"Thank you so much, but I'm sorry to say that I don't have the context to translate the Chinese text accurately. Can you provide more information or context about the text so that I can translate it properly?","Grateful for his kindness, she went out by the back gate.",Liu Laolao expressed her gratitude profusely before leaving through the back door.,"Granny Liu thanked her profusely, but still left by the back door.",Grannie Liu thanked him profusely and came out by the back gate.,"Liu Lao Lao thanks a lot, still left from the back door.",Grannie Liu thanked him profusely for his trouble and slipped back by the rear entrance.,Grannie Liu thanked her profusely and left by the back gate.
太君问你话呢！,The commander asked you a question!,"Madam, what do you want to know?""",The Old Lady is asking you now. They're all busy.,Your highness has something to ask you!,"Come to think of it, she's asked you a question.",Majesty is asking you a question!,Lady Wang's asking you a question.',Who are you talking to?,"Now what are you asking, exactly?",The officer is asking you questions!,The master is asking you a question!,The Lady asks to see you.',You are asked a question!,And how many times have I told you not to answer questions until you have thought about them?,The general is talking to you!
我和陈清扬在章风山上做爱，有一只老水牛在一边看。,"When Chen Qingyang and I made love on Mount Zhang Feng, an old buffalo alongside us watched.","And I had sex with Hsu Qingyuan at the Lin Hong Mountain, and there was a cow on one side watching.","When Chen Qingyang and I made love on Tai-feng Mountain, a pig was kept在一旁看着他们。","I had sex with Chen Qingyang on Mount Zhaofeng, while a old water buffalo was watching from the side.","When Chen Qingyang and I made love on Zhang Feng Mountain, a old buffalo looked down on us from behind.","I had sex with Chen Qingyang on Mount Zhangfeng, and an old water buffalo was watching us from the side.","On Mount Zhang Feng, Chen Qingyang and I made love, and a old buffalo was watching.","I am with Chen Qingyang on the top of a mountain, watching an old water buffalo grazing nearby.","When Chen Qingyang and I made love on Mount Zhang Feng, an old buffalo stood looking at us.","I had sex with Chen Qingyang on Mount Zhangfeng, while an old water buffalo watched nearby.","My lover Chen Qingyang and I made love on Mount Zhangfeng, while an old water buffalo watched on.","On Mount Zhang Feng, Chen Qingyang and I made love when a old buffalo was looking.","I am making love with Chen Qingyang on Zhangfeng Mountain, and there is an old water buffalo watching on the side.","When Chen Qingyang and I made love on Mount Zhang Feng, a old bull watched us from a distance.","When Chen Qingyang and I made love on Mount Zhang Feng, there was an old buffalo watching us."
咱们两个说话儿不好？”,'Why can't we both sit here and talk?',"The two of you speak too fast for me.""",How am I going to get along with them if we argue?',"Are we not talking properly?""","Anyway, our conversation is a little disjointed.'",Is there something wrong with our conversation?,Why don't we sit down and talk this over?',Can we talk nicely to each other?,'Is it not enough that we have to put up with all the goings-on here without you carrying on a running commentary on it all the time?',"Is it that we can't talk to each other?""",Can't the two of us have a good chat?,Why don't we finish our conversation somewhere else?',"Are we having difficulty communicating?""",We can't keep on talking like this. It's not right.',Can't two of us talk without someone getting suspicious?'
他心里很安宁，看着窗帘上的光影，什么都不去想的。,He felt utterly at peace as he watched the moonlight dancing on the curtain; he decided to let his mind go blank and not worry about anything that had happened that night.,He is calm inside; he looks at the curtains as though nothing is going on.,"He felt calm, and though he watched the shadows on the curtains, he didn't think.",He felt very calm as he looked at the light on the curtains without thinking of anything.,"He felt very at peace as he watched the shadows on the curtain, taking no thoughts with him.","He felt a profound sense of peace within himself, observing the play of light and shadow on the curtains without allowing any thoughts to enter his mind.","He felt calm, and as he looked at the play of light on the curtains, his mind went blank.",He felt very content and looked at the shadows on the curtains without thinking of anything.,"He felt very peaceful, watching the shadows dance on the curtains, thinking about nothing.","He was at peace in his heart, watching the play of light and shadow on the curtains without letting any thoughts in.","He was at peace, looking at the play of light and shadow on the curtains, not thinking about anything.","He was very calm, and as he watched the play of light on the curtains, his mind wandered completely free.","He is very peaceful inside, watching the light and shadows on the curtains, not thinking about anything.",He felt very at peace as he watched the light and shadow play on the curtains and didn't think about anything.,"He was very calm as he stared at the patterns of light and shadow on the curtains, not wanting to think about anything."
这件事有两种可能的原因，一是他下来视察，遇见了我对他装聋作哑，因而大怒，不走了。 二是他不是下来视察，而是听说陈清扬和我有了一腿，特地来找我的麻烦。,"His visit could be accounted for in two ways: one was that he came down to our team for the investigation, but when he met someone like me who played dumb with him, he got pissed off and decided to stay; the other was that he came down to our team not for investigation, but to pick on me, after hearing that Chen Qingyang and I had a love affair.","There are two possible explanations for this matter. First of all, he came down and met me on his way, and he was heard as if he was a fool, so he got angry and did not go. Second, it is not that he came down and met me on his way, but rather, he heard about my affair with Chen Qingyun and wanted to trouble me.","There were two possible reasons for this: one was that he went down to check on him; (but) the更重要的原因是，he did not come down to complain directly to him about my silence, but happened to run into me when he was walking along because he was angry at me; the real reason behind his visit, however, was to find me for purposes of harassment against Chen Qingyang.","There could be two possible reasons for this: either he came down to inspect, and seeing me act as though he didn’t hear him, he became angry and left. Or he was not coming down to inspect but heard that Chen Qingyang had been having a bit of fun with me and came to trouble me specifically.",There were two possible reasons for his action: one was that he got angry because he thought I had cheated him at an inspection and ran away; the other was that he heard that Chen Qingyang had slept with me and came specifically to trouble me.,"There could be two possible reasons for this. One is that he came down to inspect and, encountering my deafness towards him, became enraged and decided not to leave. The second possibility is that he did not come down for an inspection but rather heard about the relationship between Chen Qingyang and me, and came specifically to cause me trouble.",There were only two possible explanations. One was that he came down for a inspection and found me ignoring him. So he got angry and decided to stay. The other was that he had heard that Chen Qingyang had been sleeping with me and come to报复.,"There are two possible reasons for this incident. One is that he came to inspect and saw me pretending to be deaf and mute, which made him very angry and he didn't leave. The other reason is that he did not come to inspect but heard that I had an affair with Chen Qingyang and specifically came to cause trouble for me.","There might have been two reasons for this: One was that he came to investigate the matter and, having found me mumbling and pretending to be dumb, got very angry and decided not to go back; the other was that he did not come to investigate but, having heard that Chen Qingyang and I had become a couple, he came to give me a hard time.","There could be two possible reasons for this situation. One is that he came down to inspect and encountered me ignoring him, which provoked his anger so much that he decided to stay. The second possibility is that he did not come for an inspection but heard about the affair between Chen Qingyang and me, coming specifically to cause me trouble.","There were two possible reasons for this. One was that he had come down to make an inspection, and when I pretended not to hear him, he became furious and refused to leave. The other reason was that he hadn’t come to make an inspection at all, but rather had heard that Chen Qingyang and I had become involved, and had come to cause trouble for me.","There were only two explanations for his behavior. One was that he had come to investigate something and, seeing me ignore him, had become very angry and decided to stay. The other was that he hadn't come to investigate anything, but had heard that Chen Qingyang had taken me as her lover, and came to make my life miserable.","This event has two possible reasons. One is that he came to inspect and met me pretending to be deaf and mute, which made him angry and left. The other is that he did not come to inspect, but heard that Chen Qingyang and I have a leg problem, and came specifically to bother me about it.","There were two possible reasons for this. One was that he had come down to investigate the case for himself, met Chen Qingyang, and gotten angry at her fake deaf-mute act; or he hadn't come down at all but had heard that Chen Qingyang and I were now a threesome and had come to bother us.","There were two possibilities about his visit: one was that he came down to investigate something and ran into me. Since I ignored him, he got angry and decided to stay for a while; the other possibility was that he didn't come down to investigate anything but heard that Chen Qingyang had slept with me and came to make trouble for me."
过了一些时候，我到清平赶街，遇上了同学。,"After a while, I traveled to the market in Qingping and ran into some classmates.","After a few days, I met up with my classmates at the square.","After a certain amount of time, I went to the market in Qingping with my classmate.","Some time later, I went to Qingping market on foot to meet my classmates.","Later on, when I went to Qingping market to buy some horses, I ran into one of my students.","After some time had passed, I went to Qingping market and bumped into a classmate.","After a while, I went to Qingping market and ran into my classmate.","After some time, I went to Qingping to catch up with my classmates.",After that I went to Qingping market and ran into a classmate.,"After some time had passed, I went to Qingping market and bumped into a classmate.","After a while, I ran into my classmates at the Qingping market.","After a while, I went to Qingping market and ran into my classmate.","After some time, I went to Qingping Street and met a classmate.","After a while, I went to Qingping market and ran into some classmates.","After a while, I went to Qingping market, and ran into my classmate there."
这件事传出去对谁都没好处，所以就没向上报告，只是在农场内部通缉王二和陈清扬。,"It wouldn't have been good for any of us if that news had gotten out. So they didn't report us, only issued a wanted poster on the farm.","This is a matter that does no good to anyone so I will not report it to the higher authorities. In fact, I have only sent out an alert to the local farm community regarding Wang 2 and Chen Chuangyuan.","As a matter of principle we didn't report this, but they told the farm's headquarters that they wanted to see Wang Er and Chen Qingyang, so they called a meeting and said, 'All members of the farm staff are invited to meet with you to ask them to appear.'","This would be bad for everyone involved, so it was not reported at all. Instead, Wang Er and Chen Qingyang were being hunted down on the farm.","Since this kind of thing wouldn't do anyone any good, they decided not to report it; all that was necessary was to issue a wanted ad for Wang Er and Chen Qingyang on our farm.","This would not benefit anyone if it were to spread, so there was no report made above our level; instead, we issued a farm-wide warrant for Wang Er and Chen Qingyang.","The incident wasn't reported at all because of the damage it would have caused to Wang Er and Chen Qingyang, and to us as well. So they announced a search for Wang Er and Chen Qingyang within the farm.","This incident will only cause trouble for someone, so I didn't report it to anyone above. It was kept within the farm and only known to Wang Er and Chen Qingyang.","It wouldn't have been good for either of them if the matter had gotten out, so they didn't report it upstairs. Instead they announced their breakup within the farm.","The news of this incident would not benefit anyone, so it was not reported upwards; instead, Wang Er and Chen Qingyang were simply put on the farm's internal wanted list.","It wouldn’t benefit anyone if news of this got out, so it wasn’t reported higher up. Instead, they just put out an internal notice on the farm to look for Wang Er and Chen Qingyang.","The thing is, this wouldn't have been good for anyone involved, so we didn't report it. We simply announced a wanted poster for Wang Er and Chen Qingyang.","This incident should not be spread, as it benefits no one. Therefore, it was not reported upwards, only the internal search for Wang Er and Chen Qingyang was conducted on the farm.","It was no use reporting it; so, though it cost her dearly, all she did was to keep it to herself and avoid Wang Er and Chen Qingyang.","Since it would not benefit anyone if this were made public, we decided not to report it to higher authorities but to conduct a search for Wang Er and Chen Qingyang on our own."
惯养娇生笑你痴，菱花空对雪澌澌。,"'Fond man, your pampered child to cherish so— That caltrop-glass which shines on melting snow!","Suffering from carelessness, I am fond of your beauty; you stand alone in snowflakes without any care.",A child of taste has been bred for you: In winter flowers stand with their petals frozen.,"Beguiled by pampered youth, you are mad for your own beauty, snow falls over the flower vase.","Peculiarly gleeful you are, O Amah-choo! Your mirror shows but frozen snow.","Pampered and fussed over, you laugh at my folly,
The lotus mirror reflects only melting snow.",Laughing at your foolishness They'll clothe you in silk And hang ice-blossoms round your bed for decoration.,"""Indulge in pampering and spoiling you with smiles, and the lotus blossoms are empty against the snowy snow.""","'You indulge her too much, poor girl, and she gets above herself. Just look at her sitting there smirking, with that frost and snow at her elbows!'","Pampered and spoiled, you laugh at my foolishness,  
Thelotus mirror reflects snow melting silently.","Pampered and spoiled, you laugh at my infatuation; the mirror shows only the melting snowflakes in vain.",Crimson mirrors mock your vain delight: Ice-crystals melt before the mirror-glass!,"Cherish the tender and laugh at you foolishly, orchid blooms empty against the snow.","Used to pampering and laughter, you silly dear, Like the lotus in the frozen pond.","They laugh at you, fondling, for your folly; The mirror shows your face grown old and bald."
他们杀人越货，精忠报国，他们演出过一幕幕英勇悲壮的舞剧，使我们这些活着的不肖子孙相形见绌，在进步的同时，我真切地感到种的退化。,"They killed, they looted, and they defended their country in a valiant, stirring ballet that makes us unfilial descendants who now occupy the land pale by comparison. Surrounded by progress, I feel a nagging sense of our species' regression.","They kill for money, brave their country, they have performed a number of heroic dramas, which we these day's children admire, but I truly feel that our decline is not so much a change from progress.",They have committed heinous crimes and rendered dying men's hearts to song while at the same time presenting scenic interpretations of their heroic deeds on which patriotic souls like them can aspire. We as mere dunces admire these performances with derision; yet inside we feel that our own decline is being accelerated.,"They murder and rob, but they have a heart of gold; they perform a heroic tragedy which makes us living scoundrels look like fools in comparison with them. As I progress, I feel my own degradation.","Theyslaughtered for glory, robbed and plundered without pity, yet from generation after generation we have seen them tell their stories through plays that made our successors seem foolish and ignorant, while advancing technology has made us feel degraded and out of date.","They committed acts of murder and robbery, showing their loyalty and dedication to their country with utmost sincerity. They performed heroic and tragic ballets that made us, their unexceptional descendants still alive, feel inadequate by comparison. As we advance, I genuinely feel a sense of degradation within our species.","These boxers killed men and robbed them of their lives, but they did it for their country. They performed heroically, like extras in a magnificent dance drama. The way they conducted themselves shamefully exposed us, who live on, in their presence. As we progressed, we found ourselves degenerating.","They killed people and looted, but their loyalty to their country was unwavering. They performed many heroic and magnificent plays that made us, the living descendants, feel inferior. As we progress, I feel the degeneration of our kind.","These mass murderers and looters had performed bravery on the stage that made the lives of their descendants, like us, who fared poorly in comparison, seem abjectly deformed even as they progressed.","They committed acts of murder and robbery, yet remained loyal to their country with utmost sincerity. They performed heroic and tragic ballets that made us, their unscrupulous descendants still alive, look pale in comparison. As we progress, I genuinely feel a sense of degeneration within our species.","They killed and looted, serving their country with utmost loyalty; they acted out heroic and tragic dramas that put to shame us unworthy descendants who live today. As we progress, I truly feel a degeneration of our kind.","These men committed crimes for which they were executed, but their loyalty to their country was unshakeable. They performed magnificent dramas of heroism that made the unrepentant descendants of those who lived today look like punks. As we progressed, we felt the degeneration of our kind.","They are more ruthless in killing, more loyal in serving the country, they have staged many brave and grand dramas, which makes us, the unworthy descendants, feel ashamed, as we progress, I truly feel the degeneration.","They were more loyal than loyalists, more brave than the brave, and their patriotic drama moved us who were still alive to tears. As the revolutionaries became more reactionary, I felt the need to regress.","They robbed and murdered, but they were loyal sons of the nation. They performed one heroic and tragic scene after another, making us, their unworthy descendants, feel ashamed. As we progressed, I clearly sensed the decline of the race."
汪淼现在意识到，《三体》的玩家，可能相当一部分是他们这样的社会精英。,Wang now realized that a considerable number of Three Body players were probably social elites like them.,"Now, as Han Xiaoyu realizes, some of the players who play in the Three Body Problem may be elites from their society.",Wang now realized that Third Body was likely created by players who were members of the elite society.,Wang Xiao now realizes that a significant portion of their kind might be playing The Three-body Problem as players.,Only as time went by did Wang realize that possibly more than one player was a person from the top ranks of society.,"Wang Miao now realized that a sizable portion of the players of ""The Three-Body Problem"" might be exactly the kind of social elites they were.","Wang now realized that some of the players of Three Body were probably like them, genuine members of society's elite.",Wang Ming now realizes that a significant portion of the Three-Body Game players are likely to be socially elite individuals.,Wang now realized that many Trisolarans were likely elite members of Trisolaran society.,"Wang Miao now realized that quite a few of the players of ""The Three-Body Problem"" might be just like them: the social elite.",Wang Miao now realized that a large number of The Three-Body Players might be social elites like them.,Now Wang realized that some of the players of Three Body might be society's elite like himself.,"The text reads: ""Wan Wang currently realizes that a significant portion of the players of 'Three-Body Problem' are likely to be social elites.""","Wang realized that a significant number of the players in Three Body were likely to be like him, social elites.",Wang now realized that many players of Three Body were probably social elites like these.
海老公道：“哼，掀住肩头有什么用？,'That's no good!,"The husband said, ""Humph, what is the use of pulling up your shoulders?""","Well,' said the old eunuch, 'what use is it if I haven't got a place to lay my shoulder?","Huagong said, ""Humph, what's the use of holding onto my shoulders?","Oh, I know,' said the old eunuch with a grudging little laugh. 'Holding your shoulder doesn't make any difference, does it?","The Sea Grandpa said, ""Hmph, what good is it to grab onto someone's shoulder?""",Hmmph!' said the old eunuch. 'What's the sense in holding on to his shoulders?,"""Ah, what's the point of covering up my shoulders?""","'Huh! What do you want to do, take the shoulder off?","The Sea Grandpa said, ""Hmph, what good is it to hold onto someone's shoulder?""","Hai Lao Gong said, ""Hmph, what use is holding onto the shoulder?""","Hum! Good catch, but it won't do him much good,' said the old eunuch.","Humph, what's the use of grabbing my shoulder?""",Pffft! What do you want to go holding your shoulder for?,Humph! What good does that do?
我就静静的躺一躺也好啊。”,I shall be all right if I lie here quietly on my own.',"I just want to lie down and rest.""","I'd better stay put and rest together for a while, okay?'","I'd like to lie down quietly, alright.",Why don't we lie down quietly?',"I would be fine just lying quietly.""",I think it would be all right just to lie here quietly for a while.',"""I'll just lie down quietly.""",I thought it would be nice to just lie here quietly.',"Just let me lie quietly, alright?""","I just want to lie down quietly for a while.""",I think it would be all right if I just lay here quietly for a while.',"I could just lie down quietly for a while.""",I could just lie down and be still.',It would be such a relief just to lie here quietly for a bit.'
钱老板道：“这是沐王府的郡主。”,"'She's the Little Countess,' said Butcher Qian. The Mu Family's Little Countess.'",Money said: 'This is the wife of the Shuxian County Governor.',"Well that's one of the Mu王家的郡主,' said Butcher Qian.","Mr. Yuan said, ""This is the lady of Mr. Mu's household.""",The Little Countess is from the Mu Family.',"Mr. Qian said, ""This is Princess Mu of the王府 Mu clan.""","This is the Mu Family's Little Countess,' said Butcher Qian.","The master said, ""This is the princess of the imperial palace.""","'This is the Mu Family's Little Countess,' said the butcher.","Mr. Qian said, ""This is Princess Mu from the王府 of Mu.""","Boss Qian said, ""This is the county princess of the Mu王府."" 

(Note: The term ""王府"" usually refers to a prince's mansion or a princely state in ancient China, but it's often used metaphorically in modern times. Without more context, it's difficult to give a precise translation, so I've kept it as ""王府"" for accuracy.) 

If you prefer a smoother translation without the literal term ""王府"", it could be:
 
Boss Qian said, ""This is the county princess from the Mu family estate.""","This is the Mu Countess,' said Butcher Qian.",This is the countess of Mansion Wu.,"This is the Mu Family's Little Countess,' said Butcher Qian.","This is the Mu Family's Little Countess,' said Butcher Qian."
韦小宝应了，走进房中，只见桌上放着碗筷，四菜一汤，没人动过，忙道：“公公，你不吃饭？,"'Yes, Goong-goong!' Trinket walked across to the dining-table, where bowls and chopsticks had been laid, four dishes and a soup, all untouched. 'Goong-goong, aren't you eating?","I should have said yes, but I was too busy to eat. ""Sir, you don't need to eat?","好的, 食罢!' 赵良典应了, 迅速进入房间, 见桌上有碗筷也未摆放好, 顿时便服自己说: '哥夫,你别吃这吃那, 自己吃饱为上座啊!","Wu Xiaoya nodded, walked into the room, saw a bowl of bowls on the table, four dishes, no one had eaten, hurriedly said, ""Grandpa, you don’t eat?","Trinket entered a room and saw a table laid with bowls, cups, and chopsticks; the four dishes on the table seemed to be the only things on it, and nobody appeared to have touched them. 'Mr Executive,' he said, 'are you not going to eat?'","Vie Hongbao nodded, walked into the room, and saw a set of chopsticks on the table with four dishes and a soup. He noticed that no one had touched them, so he hurriedly asked, ""Grandfather, aren't you eating?""","Trinket went inside and saw that there were already plates set out with four dishes and a bowl of soup on them; the food was obviously undisturbed, so he said: 'G-g-goong-goong, are you not going to eat?","I walked into the room and saw a bowl of chopsticks and four dishes of food on the table, untouched. I asked, ""Grandpa, didn't you eat?""","'You haven't eaten yet, Goong-goong!' said Trinket, taking in at a glance that the table was set and the food still untouchd.","Wēixiǎobǎo replied, walked into the room, and saw a set of chopsticks on the table with four dishes and a bowl of soup. No one had touched them. He hurriedly asked, ""Grandfather, aren't you eating?""","Wei Xiaobao agreed and walked into the room, where he saw a table set with four dishes and a soup, untouched. He quickly asked, ""Grandpa, aren't you eating?""","Trinket thanked him and hurried back to the bedroom. What he found on arriving there was a table set for four with a bowl of soup and four plates, each with a different dish of food on it. The plates all looked as if they had been recently laid out but none of the food had been touched. 'Lunch isn't ready yet, Goong-goong, he said.","Wei XiaoBao nodded, walked into the room, and saw a bowl and chopsticks on the table, with four dishes and a soup, untouched. He asked urgently: ""Grandpa, didn't you eat your meal?""","No, sir,' said Trinket and led him in. There he found a table set out with a few dishes of rice and some side-dishes on it, all untouched. 'Shall I get you something to eat, sir?' he asked, and hurriedly poured him some rice and some of the side-dishes on to a little table of his own.","Are you not going to eat, Goong-goong?' said Trinket, hurrying over to him. He had just come in from outside and found the old man sitting there with the meal still virtually untasted before him."
