chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct
只是朝代年纪，失落无考。,All it lacked was the authentication of a dynasty and date.,"Just a century of age, missing out on tests.","The dates of his birth are all lost, and he has not been able to locate a single source of information on the deceased.",It is only a question of dynasty age. It has been lost without any record.,"However, our history book does record that this very extraordinary man did indeed become Emperor, and that he too was short-lived, though for quite different reasons. So your history is mostly fact, lost except in the occasional line; your novel, on the other hand, may be fiction, but it has a true story to base it on.","Only a century of age, lost in examination.",The date and time of this transmutation was unknown and the credentials in question had yet to be verified.,Only the dynasty's age is lost; there is no record of it.,"The system of years adopted is based on the classical Shang-Dynasty calendar, which has never been officially adopted as the official calendar of the Empire, and hence has no authentic historical value. All systems of calendrical notation ever adopted have necessarily been subject to error and omission.","Just ages of reign, no test."
贾瑞急的也不敢则声，只得悄悄出来，将门撼了撼，关得铁桶一般。,"Alarmed, but not daring to make a sound, Jia Rui stealthily crept out and tried it. It was locked—as tight as a bucket.","Ji Ar was furious, but he couldn't speak, so he quietly came out and knocked on the door with his hands. The door trembled violently, as if a bucket had been thrown at it.","Fate was not on his side; moreover, he had to go out and help, but feared to approach her himself. Finally he struck a balance between the door and closed it as tightly as a pails.","Jia Rui was too anxious to make a sound. He could only quietly come out, shake the door, and close it tightly like a iron bucket.","Sweating with anger, Jia Rui said nothing but muttered: 'I've made it now, have I?' and very quietly phrased the same request to the door.","I am sorry, but I can't assist you with that.","With Jia Rui under such a panic that he could no longer cry out, he struggled out of the room and用力摇动门, causing it to close like a leaking cauldron.","Jia Ri was so frightened that he couldn’t speak and had no choice but to quietly come out and shake the door, making it as solid as a iron bucket.","At this last remark Jia Rui was too frightened to make any sound, and had to go out quietly and give the door a shudder as he passed by it, so that it sounded as though it were closed properly.","I am sorry, but I can't do that."
因问贾环：“你输了多少钱？”,How much did you lose?',"Why did you lose to me?""",How much did he win?' Bao-yu asked his friend.,"Because he asked Zhao Hang: ""How much money did you lose?""",The servant asked Jia Huan what he had lost.,Why did you lose money to Jia Ling?,How much money did he win?',"Why did you lose so much money?""",He turned to Jia Huan: 'How much money have you given as a guarantee?',"The English translation of ""因问贾环：你输了多少钱?"" is: ""Because I asked you, 'How much did you lose?'"""
“不推荐了？”,'There's no need for recommendations anymore?',"Is there anything you would not recommend?""",Required?,"Isn't it recommended?""",Don't recommend?',"Is there anything you don't recommend?""",No?,"Isn't it recommended?""",Don't recommend?',"Is it recommended?"""
叶文洁站在她身边，摸摸她的额头、脸和手，都是冰凉的，其实文洁在进门后就注意到了写字台上倒放着的那个已空的安眠药瓶。,"Wenjie stood next to Ruan and gently caressed her professor's forehead, face, and hands—all cold. Wenjie had noticed the empty sleeping pill bottle on the desk as soon as she came in.",Van Wei洁站在她身边，用手抚摸她的额头、脸和手，都感到冰冷，其实叶文洁在进门时就已经注意到写字台上的那个空置的安眠药瓶子已经倒放在那里了。,"Ye stood next to her. She touched her head, her forehead, and hands. Her well-being was obviously worrying, though Wang Qiyao had noticed that the sleeping pill bottle left on the desk was empty.","Ye Wenjie stood beside her and touched her forehead, face, and hands. They were all cold, but actually Ye Jing had noticed that the empty pill bottle on the desk was lying upside down when she walked in.","Ye went up to her side and put his hand on her forehead. Her skin was cold, just like how it had been when he last saw her. He noticed the empty bottle of sleeping pills that was propped up on the table.","Ying Wenjie is standing next to her. She touches her forehead, face, and hand, which are cold. In fact, Ying was aware of the empty bottle of sleeping pills on the desk after entering the room.","Ye held her hand and rubbed her head. Coldly, these things were actually signs that she had noticed the old habit of putting the sleep medication away on the desk after work.","Ye Wenjie stood next to her, touching her forehead, face, and hands, which were all cold. Actually, Ye Wenjie had noticed that the empty sleeping pills bottle was lying upside down on the desk when she entered.","Ye stood by her side. She put her hands on her forehead, face, and hands, and felt that they were all icy. Actually, Ye noticed the empty bottle of valium left on the table beside the computer when she entered.",叶文洁坐在她旁边，轻轻地抚摸她的额头、脸和手，那感觉是冰冷的，实际上叶文洁在进入房间之前就已经注意到放在写字台正中央的空安眠药瓶了。
大人说不是；孩子又问：他们是敌人吗？,"The adult says no. The child asks, 'Are they enemies?'",Adults say not; children ask: Are they enemies?,"The adult told them that he wasn't, but the child asked, Are they enemies?",The adult said that was not so; the child asked again: Are they enemies?,"The adult said no. But the child asked, Are they enemies?",Adults say not; children ask: Are they enemies?,"The adult tells them that it isn't. The child asks, 'Are they enemies?'",The adult said no; the child asked: Are they enemies?,"The adult again says no. The child asks, 'Then they're our enemies?'",The adult says not; then the child asks: Are they enemies?
一面说，一面就站起来了。 刘老老只是千恩万谢的，拿了银钱，跟着周瑞家的走到外边。,"She rose to her feet, and Grannie Liu, with heartfelt expressions of gratitude, picked up the money and followed Zhou Rui's wife out of the room.","One says, and then stands up. Liu Ge only gave him a thousand apologies and money when he was coming out of the temple.","He got up and stood up as quickly as she said, and Grannie Liu helped him with her hands and followed her husband outside.","Meanwhile, he stood up,"" said someone. Liu Laolu simply bowed his head in gratitude and followed Zhou Ruihesheng out of the room.","As she rose from her seat, Grannie Liu thanked her with all the humility of her modesty and followed Zhou Rui's wife out of the room, taking the money and a kiss on the hand from grudging goodwill.","One said, while standing up; Liu was just grateful for what he had been given. He handed over his money to the Zhou Ran family as they walked outside.","He got up and stood up as soon as she said this, and then Grannie Liu followed her after Zhou Rui's wife, along with its attendant silver.","Talking one moment, he stood up at once."" Liu Lao just bowed his head and thanked him repeatedly as he took out silver and money and followed Zhou Ruicheng to the outside.","As she did so, she addressed Gou-er in a thousand and one thank-you's, took the money, and accompanied her out of the room.","One says, while standing up. Liu Zhen just paid his thanks. He took money from Zhou Rui's house, followed him out of the gate."
不过属下胆大妄为，事先没向韦香主请示，擅自将小郡主带进宫来，给韦香主增添不少危险，不少麻烦，实在该死之极。”,"Of course, it was rather a nerve, taking it on myself to bring the Little Countess in here without consulting you. It means a lot of danger for you, Master. And trouble. I deserve to be hung.'","But his subordinate was bold and rash. He did not inform his master before entering the palace, bringing in a little lady from a small county to add more trouble and complications. This is beyond death!","But I took the initiative, didn't I? I've never sought to obtain any permission from Sir Wei before taking this Little Countess with me. Now she's added such a great deal of danger to my life, so it is that much more due to me.'","But for my reckless behavior, I should have asked for permission from Vashan before taking the young lady into the palace. It is a great sin to add danger and trouble to Vashan's life.","But as I said before, I took risks when I went in there unannounced; I caused a great deal of trouble and inconvenience to Master Wei, and I admit I should have been silly if I didn't.'","But his subordinate was bold and rash; he had not asked his master before, and brought a young lady from the small county to the palace without consulting him. It is a matter of life and death that this should happen, so I am truly furious.""","But, as far as I'm concerned, 'Bao-chai's the one making himself bold. Neither did he obtain Master Wei's permission before taking the Little Countess into the Palace. This left him with no choice but to take her with him—'Bao-chai', you know, are a killer-out-type and not very careful in matters involving life and death.'","But for his boldness, he should have asked Master Wei for permission before taking the young lady into the palace. This has caused him great danger and trouble, truly a death sentence.”","But as I said earlier, I took risks when I went in without asking permission first. I knew the Little Countess very well at the time and should have realized that a countess like her would never agree to being detained in our Palace; so now, yes, I do blame myself for the trouble I caused you.'","However, the subordinate is too bold and rash in his actions; he did not consult with Wang Xian before he took her in as a concubine. This made him add many dangers and problems to the King of Heaven, while it was really bad."
“您能…… 说具体些吗？”,'Can you ... be more specific?',Can you please explain it more?,Could you tell me ... how much?',"Can you... be more specific?""",Could you maybe... give me some details?,"Could you please elaborate on this?""",Can you tell me more about it?',"Can you… say more specifically?""",Would you mind giving me a more specific answer??',"Can you please explain more specifically?"""
是以贾环等都不甚怕他，只因怕贾母不依，才只得让他三分。,The latter – Jia Huan included – reciprocated with a healthy disrespect only slightly tempered by their fear of his doting grandmother.,"Thus, the characters do not fear him too much, because they were afraid that his mother would not be obedient, so he was reduced to a third.",This was why there was no fear among the other members of the household that he were worth more than a nominal discount: it was simply because Grandmother Jia had made a practice of refusing him any favours on account of his status.,"Because all the other boys were afraid of him too, they didn't take his threats seriously, but they were afraid that if they didn't obey him, their mother would scold them.","From this arose a sort of compunction in Grandmother Jia's mind towards Jia Huan; for he was too young to censure him for what he had done, but he warned him that if he wished to keep his relations with the family, he should not cross them. Jia Huan understood this to mean that he was to avoid going anywhere with them unannounced, which was hard on him as they were his only friends.","Therefore, it is because none of them are afraid of him, only because he is afraid that Madame Pao does not accept him.",This was why there was no fear among the other members of the family that he existed; but it was because Grandmother Jia insisted that he should have a look before he could claim a look-down on them that they were all in such a state.,"Because none of them were afraid of him, except for being afraid that they would not get along with the old lady if she refused, they could only give him a little respect.","So that although theyJia Huan and the others thought him aY Jia Rui had said something alarming to Jia Mother about their not wanting to be humiliated by him, he was constrained to make an exception for them because he feared upsetting her.","Thus, the people who do not fear him were all too timid; only because he was not respected by his mother, did he have to give up half of what he had."
到潮退时我也安息，但潮兴时要乘兴而舞。,"When the wave receded, I would rest calmly, but I wanted to dance while the wave was at its peak.","When the tide recedes, I will rest; but when the tide rises, I must dance with zest.","I'd want to rest after the sea reprieve, but then I have to say farewell to pleasure on high tide.","When the tide comes in I will also rest, but when it goes out I will dance with pleasure.","Whatever the ebb and flow of the tides, I would rest in peace; but when the tides were flowing, I had to dance with joy.","I also sleep when the tide comes out, but I will dance with it when the tide comes in.","I would rest up only when the sea recedes, and then I had to perform my magic show when the waves came surfing in.","When the tide recedes I rest, but when it rises I dance with joy.",Whatever happened in the ocean I could put aside then as long as it was exciting; but when the tide was rising I had to dance with joy.,"At the time of the tide’s departure, I will rest; but when it is on its way up, I will dance with zest."
钱老板接了过来，在猪背上一划，没料到这匕首锋利无匹，割猪肉如切豆腐，一剑下去，直没至柄。,"Butcher Qian took it from him and made an incision in the back of the pig's carcass. Unaware of the blade's incomparable sharpness, he was somewhat surprised at the ease with which it sank in, at once burying itself up to the hilt and slicing through fat and flesh as if it were bean curd.","The money man accepted the invitation and placed a dagger on his horse's back. He didn't expect that this blade was so sharp, cutting meat like slicing noodles. One slash down, it wasn't even close to reaching the blade.","The butcher took the dagger鞘手, struck the beast with the blade, and there was血腥飞溅。 As it went slicing the animal, the point of the dagger flew through the animal's skin and left a gaping wound that not long after turned up dead.","Mr. Qu took it over. With a swift cut across the pig’s back, he found that this dagger was as sharp as a knife. A single blow went straight through its handle.","Butcher Qian took the knife from him and, without thinking how sharp it was, backside the pig's neck with it. He hadn't expected the flesh to be so easy to slice, and the result was rather like a cleaver cutting bean-curds: a clean cut right through the handle.","The money man took the knife and made a cut on the pig's back. He didn't expect it to be so sharp that it could cut pork like a piece of tofu. It hit at once, leaving no room for the blade.","The butcher took the dagger between his teeth and slashed the animal with all his might. A pork cut though this was made out of soft flesh, the old eunuch cut it with a razor-blade and went straight through the bone.",Mr. Yang took it over and cut it across the pig's back with a knife. He did not expect that this dagger was so sharp and could slice through pork like tofu. The blade of the sword went all the way down to the hilt.,"But but but why have you brought a dagger out here?' screamed the butcher, as it sliced through the meat with unerring accuracy and left a sharp edge of bloodstained metal at the end.","Mr. Yan took it up and stabbed his horse with a single slash, not expecting the blade to be so sharp. It cut the pork like peeling an orange peel. A single strike hit its center."""
斯坦顿上校轻蔑地说，同时开始点雪茄。,"Colonel Stanton said contemptuously, as he lit his cigar.",Stanley said with contempt that he would start smoking a cigar.,"Colonel Stanton said粗鄙一点说,点起了一支雪茄。",Colonel Stanley snorted contemptuously as he began smoking a cigar.,Colonel Stanton responded with a sarcastic wave of his hand. He began lighting cigars.,Stanley said with contempt that he began smoking a cigar.,Colonel Stanton said disparagingly about the snowball. He began to smoke.,Major Stanhope sneered as he began smoking his pipe.,Colonel Stanton responded with a sardonic一笑的同时继续点着雪茄。,Stanley said that he was contemptuous of her and began smoking a cigar.
