chinese,english,unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned),unsloth/Qwen2-7B-Instruct,unsloth/Qwen2-7B-Instruct(finetuned),unsloth/mistral-7b-instruct-v0.3,unsloth/mistral-7b-instruct-v0.3(finetuned),gradientai/Llama-3-8B-Instruct-Gradient-1048k,gradientai/Llama-3-8B-Instruct-Gradient-1048k(finetuned)
只是朝代年纪，失落无考。,All it lacked was the authentication of a dynasty and date.,"Just a question of years, and no clue.","Theenchanted mountain saw its own dynasty as it vanished into the vast beyond, lost and forgotten.","It's just the age of a dynasty, and its loss is unknown.",Based on chronological order. No further investigation.,"The dynasty's age, however, is lost and cannot be verified.",The exact period of time in which this story is set is lost to history.,"The translation is: ""Only the era of the dynasty, lost without investigation.""</s>","As regards the period in which he lived and the state of the country at the time, I am afraid I have not taken precise notes.","Only the dynasty's age, no record of it.",The Tang dynasty was already a thing of the past and no one was interested in remembering it.
贾瑞急的也不敢则声，只得悄悄出来，将门撼了撼，关得铁桶一般。,"Alarmed, but not daring to make a sound, Jia Rui stealthily crept out and tried it. It was locked—as tight as a bucket.","Quan Liu was so furious that he could not speak out that he quietly came out, smashing the door with a hammer and closing it tightly.","Jia Rui, however, who had also cowered, could not get out any more. He made a noise with his shoulder, but secretly managed to shake the gate off its hinges and thrust it shut as though closing over a large pot.","Jia Rui was so anxious that he dared not make a sound, and had no choice but to quietly come out. He shook the door and closed it tightly like a pot of iron.","At the touch of disappointment Jia Rui became so frightened that he left without making a sound and slipped back to his room, closing the door so violently that it sounded as though one of the pillars had broken.","Jia Rui, panicked but not daring to speak, could only quietly step out and shake the door, finding it as solidly locked as a metal drum.","Jia Rui was dreadfully embarrassed and could scarcely find his tongue. Nevertheless he had to try and soothe her. As he did so, he subtly tested the door with his hand. It was as firmly closed as a lead safe.","I'm afraid to speak up, so I quietly came out and closed the door with all my might, like a locked iron barrel.</s>","Jia Rui was too frightened to say anything, but stood outside the door and rattled the handle as though it were a bank of cast-iron locks.","Jia Rui hurriedly and quietly came out, slightly shaking the door, which closed with a sound like an iron barrel.","Jia Rui, who was beginning to get worried, did his best to close the door quietly and bolted it shut as though slamming it shut would announce to the whole world that he was there."
因问贾环：“你输了多少钱？”,How much did you lose?',Why did you ask宝玉：“How much have you lost?”,But what has won you a big fat bunch of money?',"Because he asked Xiao Heiron, ""How much did you lose?""","But he asked Jia Huan, 'How much did you bet on?'","And he asked Jia Huan, ""How much money did you lose?""",How much money did you lose?',"I asked Jia: ""How much money did you lose?""",He turned to Jia Huan. 'How much did you lose?',"How much money did you lose?"" (asking Jia Huan)",How much did you lose?' he asked Jia Huan.
“不推荐了？”,'There's no need for recommendations anymore?',"Is it recommended?""","No, don't recommend?'","Isn't it recommended?""",我不推荐了?',"Recommending against it?""",You don't recommend me?',"""Would you like me to recommend something else?""</s>",'No recommendation?',"Not recommended?""",You wouldn't recommend it?'
叶文洁站在她身边，摸摸她的额头、脸和手，都是冰凉的，其实文洁在进门后就注意到了写字台上倒放着的那个已空的安眠药瓶。,"Wenjie stood next to Ruan and gently caressed her professor's forehead, face, and hands—all cold. Wenjie had noticed the empty sleeping pill bottle on the desk as soon as she came in.","Wu Wenxia stands next to her, touching her forehead, face, and hand with coldness, which is obvious that Wu had noticed that there was a empty sleeping pill bottle on the desk when she came in after entering.","Ye stood next to her. Massively rubbing the baby-pot on her forehead and neck, she felt icy hands and eyes. In fact, she had noticed that the pill-p桶 was always lying on the desk after the meeting.","Ye Wenjie stood beside her, touched her forehead, face and hands, which were all cold. In fact, Ye Wenjie had noticed the empty sleeping pill bottle lying on the desk when she walked in.","Ye stood next to her, resting her hand on her forehead, face, and arms. Her body was cold, even though she had been touching her. In fact, as soon as she entered the room, Ye had noticed the empty medication bottle standing up on the table.","Ye Wenhui stood by her side, touching her forehead, face, and hands, all of which were cold. Actually, Wenjie had noticed the empty sleeping pill bottle turned upside down on the writing table as soon as she entered the room.","Ye Wenjie stood beside her, touching her forehead, face, and hands, all of which were icy. But she had noticed the empty sleeping pill bottle tipped on the desk even before she entered.","Leaf stood beside her, touching her forehead, cheeks, and hands, which were all icy. In fact, she had noticed the empty bottle of sleeping pills on the writing desk as soon as she entered.</s>","Ye put her hand on Wang Qiyao's forehead, face, and hands; they were all ice cold. Actually, she had noticed the empty bottle of sleeping pills on the writing table as soon as she came in.","Lei Wenjie stands beside her, touching her forehead, face, and hands, all of which are cold. In reality, Wenjie had noticed the empty sleeping pill bottle on the desk after entering the room.","Ye stood next to her, touching her forehead, cheeks, and hands. They were all ice-cold. Ye had noticed the empty bottle of sleeping pills on the nightstand after she came in."
大人说不是；孩子又问：他们是敌人吗？,"The adult says no. The child asks, 'Are they enemies?'",The old man says it isn’t; his son asks again: Are they enemies?,"The adult says they aren't. But the child asks, 'Are they enemies?'","The adults said no, but the child asked: Are they enemies?","The adult replies that they're not enemies; but the child asks, 'So they're not enemies?","The adult replied, ""No."" The child then asked, ""Are they enemies?""","The adult answered no; the child asked, Are they enemies?","The adult said it's not true. The child asked, ""Are they enemies?""","The adult again said no. The child asked, 'Are they the enemies?'",Adult says no; the child asks again: Are they enemies?,"The adult again says no. The child asks, Are they the enemy?"
一面说，一面就站起来了。 刘老老只是千恩万谢的，拿了银钱，跟着周瑞家的走到外边。,"She rose to her feet, and Grannie Liu, with heartfelt expressions of gratitude, picked up the money and followed Zhou Rui's wife out of the room.","One side says, one side stands up. Liu Xiangxiang was just so grateful that he gave away all his money, followed Zhou Rui’s family around.","She rose to her feet as she spoke and went with Grannie Liu, holding on to her dear boy until she reached Zhou Rui's wife's house.","As he spoke, he stood up. Liu Lao just said ""thank you"" and took the silver coins, followed by Zhou Ru's maid outside.","As she spoke, she rose to her feet. Grannie Liu thanked her with all the gratitude that could be shown; took the money and silver, and followed Zhou Rui's wife outside.","As she spoke, she got up. Lady Liu was expressing her gratitude with countless thanks, took the silver money, and followed Lady Zhou's attendant out to the outer area.","She rose to her feet as soon as she had finished reading it, and Grannie Liu thanked her profusely for the message and the money, and followed Mrs Zhou out into the yard.","One side says, one side stands up. Liu Laoguo only bowed and thanked him, took the silver money and followed Zhou Rui's lead to the outside.</s>","She rose to her feet too, and with many a grateful smile and a profusion of thanks, took the money and followed Zhou Rui's wife out of the room.","One moment they were talking, the next moment he stood up. Mr. Liu only said ""thousand thanks"" and took the money, following the Weekly Rui family outside.","As she rose to her feet, the old woman expressed her gratitude once more, and following Zhou Rui's wife, emerged into the courtyard and walked with her as far as the gate."
不过属下胆大妄为，事先没向韦香主请示，擅自将小郡主带进宫来，给韦香主增添不少危险，不少麻烦，实在该死之极。”,"Of course, it was rather a nerve, taking it on myself to bring the Little Countess in here without consulting you. It means a lot of danger for you, Master. And trouble. I deserve to be hung.'","But the subordinate acted rashly without consulting his master, and brought Lady Xiaohong into the palace without informing his master beforehand, adding more danger and trouble to him. He was really that bad a man.","However, as yet there was no occasion for this sort of action, and theuder had未经韦小宝同意，私自将小郡主带到宫里，让韦小宝身边多了个敌人，更增加了许多危险和麻烦。","But I, being reckless and presumptuous, did not ask the Lady Wei for permission before bringing the little princess into the palace, which only added danger and trouble to the Lady Wei, who was already quite troubled. It is most reprehensible.”","However, as I was bold enough to go冒险， I didn't ask Hervey about it first. I took the郡主进宫， which was a serious mistake because it was dangerous and inconvenient enough just for one person, let alone two!'","But I acted recklessly, without consulting Master Wei, and brought the young princess into the palace on my own, adding considerable danger and trouble for Master Wei. I am truly deserving of death.""",But I suppose it was wrong of me not to ask Master Trinket first before bringing her in. It was very careless of me and has created a great deal of trouble for you. I am sorry.',"However, the subject was bold and reckless, without seeking permission from the Lady Weixiang first, and brought the young princess into the palace on their own accord, causing Lady Weixiang additional danger and trouble. It was truly a capital offense.</s>","But being a bold and headstrong fellow, I didn't think to ask your permission before bringing her in, and now you see us all in a terrible mess. I deserve to be hung for my carelessness.'","However, my audacity is excessive, I did not seek permission from Wei Xiang before arbitrarily bringing the young marquise into the palace, causing Wei Xiang additional danger and trouble, which is truly a most regrettable act.""","I took the liberty of bringing her in here without first asking your permission, and it could be said that I acted too boldly. I ran the risk of incurring your displeasure and involving you in a lot more trouble than necessary.'"
“您能…… 说具体些吗？”,'Can you ... be more specific?',Could you please elaborate?,Can you explain what—?',"Can you be more specific?""",Can you be more specific?',"Could you... be more specific?""",Could you... be more specific?',"""Could you give me more details?""</s>",'Could you be a bit more specific?',"Can you be more specific?""",Could you ... give me a more specific answer?'
是以贾环等都不甚怕他，只因怕贾母不依，才只得让他三分。,The latter – Jia Huan included – reciprocated with a healthy disrespect only slightly tempered by their fear of his doting grandmother.,"Because all of them were not afraid of him, because they feared that his mother did not like him, he was forced to give him half.",This was because Jia Huan wasn't very afraid of Wang Xi's; he only became afraid when he heard Her Ladyship tell him that she wouldn't accept his share.,"Since none of the boys were very afraid, only out of respect for his mother did they allow him a little more than he deserved.","So though Jia Huan and the others didn't fear her, they feared that Jia Lu Liuli would take their word for it, and should go to her and ask her what she thought, so they caved in slightly to her demands.","Therefore, Jia Huan and the others weren't very afraid of him, but they only gave in to him a little because they were afraid that Grandma Jia wouldn't agree.","And since Jia Huan therefore was not normally afraid of any of them, he was only restrained from acting out by consideration for his grandmother.","He was not afraid of the others, but he was afraid of his mother not agreeing. Therefore, he could only let him have three parts.</s>","Even Jia Huan, who otherwise would not have feared her very much, gave in to her completely on this occasion because he was afraid of upsetting Grandmother Jia.","They are not particularly afraid of him, but only fear that Madam Ji will not agree, so they can only give him a third.","It's because Jia Huan and the others don't mind him much that he hasn't been frightened into giving him a bigger share. If they thought that Lady Wang might refuse to let him have it, they would have done something about it by now."
到潮退时我也安息，但潮兴时要乘兴而舞。,"When the wave receded, I would rest calmly, but I wanted to dance while the wave was at its peak.","I will rest as I pass through the tide, but when the tide rises, I shall dance with zest.","I rested when the water retreated, but got excited about going out again and dancing at any time.","To rest when the tide recedes, but dance with enthusiasm when it is high.","If the tide returned while I was asleep, I would yourself continue to dance until it receded.","And when the tide goes out, I rest, but when it comes in, I dance with enthusiasm.","When the tide goes out I can rest, but when it comes in I must rise up and dance.","When the tide recedes, I rest. But when it rises, I dance with joy.</s>","I rest when the tide is out, but when it comes back in I'm eager to dance.","At ebb tide I rest too, but at high tide I dance with the excitement.","I, too, am tired of riding the tides. But when the tide is up, I dance!'"
