chinese	english
原来贾瑞父母早亡，只有他祖父代儒教养。	Jia Rui had lost both of his parents in infancy and had been brought up under the sole guardianship of his grandfather Jia Dai-ru.
在我进山之前，总共就见到了两个人，一个是陈清扬，她没有告诉我这件事。 另一个是我们队长，他也没说起这件事，只叫我去温泉养病。	I saw only two people before my trip, one of whom was Chen Qingyang, who hadn't mentioned it; the other one was our team leader, who also hadn't said anything other than telling me to take a good rest at the thermal springs.
那个飞出的构件旋即落人水中，激起了高高的水柱，在它一闪而过之际，汪淼看出那是船上发动机的一段曲轴。	A broken component flew out of the hole and fell into the water, causing a large column of water to shoot up. As it briefly flew past, Wang recognized it as a section of the engine crankshaft.
到了荣府大门前石狮子旁边，只见满门口的轿马。	There, at each side of the stone lions which flanked the gates of the Rong Mansion, she saw a cluster of horses and palanquins.
审问者：你认为这个结论，本身科学吗？	INTERROGATOR: Do you think this conclusion you drew is scientific?
他把吴佩珍当小孩子看，喜欢逗她，开些玩笑；对王琦瑶则说有机会要让她上一回镜头，因她的眉眼有些像阮玲玉，趁着人们对阮玲玉的怀念，说不定能捧出一颗明星。	He treated Wu Peizhen as if she were a child; he loved to tease her and play little jokes on her. He promised to put Wang Qiyao in a scene in one of his movies as soon as the opportunity arose. Who knows? Because her coquettish eyes resembled Ruan Lingyu's, they might even be able to capitalize on the audience's nostalgia for the dead movie star and make Wang Qiyao into a new diva of the screen.
贾瑞也捻着一把汗，少不得回来撒谎，只说：“往舅舅家去了，天黑了，留我住了一夜。”	The prospect of facing his grandfather on arrival made Jia Rui sweat. A lie of some sort was indispensable. 'I went to see Uncle yesterday,' he managed to say, 'and as it was getting dark, he asked me to stay the night.'
我的后腰上好像被猪八戒筑了两耙。	My lower back looked like it had been struck by Pigsy's rake.
贾瑞见请，心中暗喜。	Hearing that he was to be received, Jia Rui rejoiced inwardly.
我去告诉我家爹，拿铜炮枪打你们！”	I'm going to tell my father. He'll shoot the two of you with his bronze-barreled shotgun!'
我们有各种选择，可以到各方向去。	We could have made any choice and set off in any direction.
父亲的勃朗宁手枪压在日本洋马肚子下边了。 在下午最后的搏斗中，父亲拖着一杆比他矮不了多少的日本马枪，爷爷还用着那支德国造“自来得”手枪。 连续不断地射击，使本来就过了青春年华的这支“自来得”迅速奔向废铁堆。	Since Father's Browning pistol lay under the belly of the fallen horse, during the final battle of the afternoon he used a Japanese rifle nearly as tall as he was; Granddad used his German automatic, firing it so rapidly it spent its youth and was ready for the trash heap.
钱老板道：“多谢韦香主夸奖。”	'Oh, I don't know about that,' said Butcher Qian coyly. 'Anyway, thank you, Master.'
总舵主道：“小事不论，只论大事。”	'Perhaps not in minor matters,' said the Helmsman, 'but in important ones, yes.'
陈清扬平躺在草地上，两手摊开，抓着草。 忽然她一晃头，用头发盖住了脸，然后哼了一声。	Chen Qingyang lay on the grass with her arms spread out and her hands grabbing the grass, and then she turned her head aside, her hair covering her face, and moaned.
所以我们必须参加。	So we would have to take part in the meeting.
你可不知我这太监是冒牌货。”	But I'm only a pretend eunuch, you know.'
还是回来喂猪吧。	I think you'd better come back to feed the pigs.
这女人打人耳光出了名，好多人吃过她的耳光。	This woman was famous for her slapping; many men had felt her slaps.
那电灯没有章子，光便满房间的，不是明亮，而是样样东西都扒了皮，裸着了。	However, with no shade over the light bulb, the objects in the room simply looked naked rather than illuminated.
她听见四周围一连串的“OK”声，是递进的节奏，有几分激越的，齐心奔向一个目标的，最终是一声“开麦拉”。	She heard a series of 'okay's repeating in rhythmic succession around her, as if converging upon a common target. Finally came the word, 'Camera.'
我就和她一块到山上去了。	So I followed her all the way up to the mountain.
假如我搬到一位阿伧大哥那里去住，现在准在黑洞洞的铁匠铺里给户撒刀刻花纹。	If I had moved in with an Ahcang big brother, I would be etching designs on Husha knives in that dark, deep blacksmith shop now.
那是百发百中，万试万灵。”	Of course it will work. It's absolutely foolproof!'
当那四个女孩儿施暴夺去父亲生命时，她曾想冲上台去，但身边的两名老校工死死抓住她，并在耳边低声告诉她别连自己的命也不要了，当时会场已经处于彻底的癫狂，她的出现只会引出更多的暴徒。	As the four girls were taking her father's life, she had tried to rush onto the stage. But two old university janitors held her down and whispered into her ear that she would lose her own life if she went. The mass struggle session had turned into a scene of madness, and her appearance would only incite more violence.
不过托赖着祖父的虚名，作个穷官儿罢咧，谁家有什么?	What if Grandfather did make a little bit of a name for himself and we do hold some miserable little appointment? What does it all amount to?
只听啪的一声巨响，好似一声耳边雷，她给我一个大耳光。	Then with a sound as loud as a thunderclap at my ear, I realized she'd given me a big slap.
这时我想，她那篇交待材料一定淫秽万分。	Now I began to think that the last confession of hers must be extremely obscene.
他说天天要跟我比武，哪一日我赢了他，他才不来缠我。”	He says I've got to fight with him every day, until I can beat him. Then he'll let me off.'
《史记》中记载蔺相如对秦王说：‘臣知欺大王之罪当诛也，臣请就鼎锅。’	In the Records of an Historian Lin Xiangru says to the King of Qin, 'Deceiving Your Majesty was a capital offence. I beg to approach the cauldron.'
我一直在想，假设在两千年前或更早的时间，人们知道有一支外星入侵舰队将在几千年后到达，那现在的人类文明是什么样子？	I've been thinking: Suppose two thousand years ago, or even earlier, humanity learned that an alien invasion fleet would arrive a few thousand years later. What would human civilization be like now?
交待完问题人家叫我们结婚。	After we finished our confessions, they wanted us to get married.
即此便是《石头记》的缘起。	This, then, is a true account of how The Story of the Stone came to be written.
山上下来的水把红土剥光，露出下面的蓝粘土来。	The water from the mountain had washed away the red soil, exposing the blue clay underneath.
“不知道。”	'I don't know.'
王文义惨叫一声：“司令——我没有头啦——司令——我没有头啦——”	Wang Wenyi screamed pitifully, 'Commander – my head's gone – Commander – my head's gone –'
片厂这样的地方是女学生们心向往之的地方，它生产罗曼蒂克，一种是银幕上的，人所周知的电影； 一种是银幕下的，流言蜚语似的明星轶事。	The film studio was the stuff of girls' dreams—a place where romance is created, the kind that appears on the silver screen in movies that everyone knows as well as the off-screen type that one hears about in the enchanting gossip and rumors surrounding the lives of film stars.
别让我受啦……	Don't make me suffer. . . .
其实他也没看见。 他想象的极限就是我们脱裤子。	Actually he didn't see any of it, but the extent of his imagination was that we took off our pants.
更主要的是，她对这罪恶一无所知。	More importantly, she had no knowledge of this sin.
“你这是颠倒黑白，”IT副总裁指着哲学家说，“那时入侵美洲的西班牙人不过是强盗和凶手！”	'You're calling black white and white black,' the software company vice president said. 'The Conquistadors who invaded the Americas were nothing more than murderers and robbers.'
她由化妆师摆弄，听天由命的表情，有一段时间，她闭起眼睛不去看镜子。 她感到十分的难堪，恨不得这一切早点结束；她还有些神经过敏，认为那化妆师也是恨不得早点结束，手的动作难免急躁和粗暴的。	She became completely resigned as the makeup man worked on her. She even closed her eyes for a while to avoid looking in the mirror, uncomfortable and anxious only to get everything over and done with. She even got neurotic and thought that the makeup man, impatient to get finished with her, was applying the makeup hurriedly and crudely.
一个多和一个快，于是不得不偷工减料，粗制滥造，然后破罐破摔。	Speed and quantity were all that mattered, and the result was that corners were cut and things got done in a slipshod manner and had eventually to be discarded.
我说一时去不了。	I told him that I couldn't get there for a while.
风从衣服下面钻进来，流过全身，好像爱抚和嘴唇。	The wind got under her clothes and flowed all over her body, like caresses and lips.
黛玉冷笑道：“我说呢!	'I see' (very frostily).
忽然她从迷梦里醒来，羞得满脸通红。	Suddenly she woke from her trance, her face blushing with embarrassment.
他把手掌放到沟底上蹭着，蹭不掉，又拿起那个破苕帚疙瘩来擦，正擦得起劲，就听到沟外一声吼：“站起来！”	He tried to rub the stuff off on the side of the ditch, but it stuck to his skin. He heard a shout from beyond the ditch: 'Stand up!'
我为的是我的心！”	It's the way I feel that makes me the way I am.'
我在交待材料里写下了一切细节，但是没有写以下已经发生的事情：我和陈清扬在十五队后山上，在草房里干完后，到山涧里戏水。	I wrote down almost every detail in my confessions except the things that happened below: On the back mountain of the fifteenth team, after making love in our thatched hut, Chen Qingyang and I went to a creek to play in the water.
钱老板吃了一惊，赞道：“好剑！”	'This is a good weapon you've got here,' he said admiringly.
像我们在开荒时干的事，只能算枝节问题。	For example, the thing we did while cultivating the wilderness was just a secondary offense.
当时，我奶奶痛苦欲绝对余占鳌说，她的法定的丈夫单扁郎是个麻风病人，余占鳌用那柄锋利的小剑斩断了两棵高粱，要我奶奶三天后只管放心回去，他的言外之意我奶奶不及细想，奶奶被爱的浪潮给灌迷糊了。	When, in agony and desperation, Grandma told Yu Zhan'ao that her legal husband, Shan Bianlang, was a leper, he decapitated two sorghum plants with his short sword. Urging her not to worry, he told her to return three days hence. She was too overwhelmed by the tide of passionate love to concern herself with the implications of his comment.
吵了一会儿，又说不打架，让我和三闷儿摔跤，三闷儿摔不过我，就动了拳头。	They argued for a while, then decided not to fight but to make Shan Men Er and I wrestle. Unable to beat me at wrestling, Shan Men Er began to punch me.
我奇怪为什么没人让我交待蓑衣的事。 那是农场的劳保用品，非常贵。	I wondered why nobody asked me to confess about the palm-bark rain cape, one of the labor-protection supplies for our farm, and very expensive.
那导演已成为熟人，她们见他不再脸红。	The director became quite close with the girls and they eventually stopped blushing in his presence.
此时贾瑞邪心未改，再不想到凤姐捉弄他。	Yet even now his infatuation remained unaltered. It never entered his mind that he had been made a fool of.
忽然间她哼了一声，就笑起来。	Instead she snorted and then started laughing.
有时放学走在回家的路上，会有一点不期然的东西唤起去试镜头的那个下午的记忆。	Occasionally, on her way home from school, something would unexpectedly stir up her memory of the screen test.
于是她匆匆忙忙收拾了一些东西跟我走了。	So she packed some stuff in a hurry and took off with me.
爷爷连射七枪，一群受伤的狗在高粱丛中、尸体堆里滚来滚去。	Granddad fired seven shots in all, and several wounded dogs writhed in agony among the corpses.
高粱地里的奇鸟珍禽高鸣低啭。	Full-voiced strange and rare birds sang to her from the fields.
她在镜子里看见站在身后的严家师母瞠目结舌的表情，几乎是后悔怂恿她来烫发的。	Looking into the mirror, she noted Madame Yan's face, on which was a mixture of astonishment and envy.
几分钟后，浏览器上出现了一个坐标窗口，一条红色曲线在窗口上出现，与另外三条进行着精确同步的波动。	A few minutes later, a red waveform appeared in the browser window, moving in step with the other three.
狐狸像一团火，滚进了芦苇丛。	Like a little fireball, the fox rolled into the reeds.
我不肯动，说道：忍忍罢。	Not wanting to move, I said, Hold on for a bit.
孩子睡醒哭了，王琦瑶让康明逊将干净尿布递一块给她，不料她母亲站了起来，拿过康明逊手中的尿布，说：怎么好叫先生你做这样的事情呢。	When the baby woke up crying, Wang Qiyao asked Kang Mingxun to hand her a clean diaper. To her dismay, her mother got up and, taking the diaper out of Kang Mingxun's hand, scolded her. 'How could you have the gentleman do this kind of thing?'
则是永远的结束。	It ends forever.
而且我已经有了热度。	I already had a temperature.
后来她哈哈大笑了一阵说，她简直见不得我身上那个东西。	She laughed hard for a while and said she simply couldn't bear the sight of that thing on my body.
我就向他借了不少家制的腊肉和香肠。	So I borrowed plenty of homemade smoked meat and sausages.
老头惨叫一声，抱住流血的头，在地上转着圈乱钻。	He screamed and held his bleeding scalp as he rolled in the dirt.
大炕上半仰着一个胖大的老头。	A fat old man was sprawled on the kang.
陈清扬说，人活在世上，就是为了忍受摧残，一直到死。	Chen Qingyang said, People live in this world to suffer torment until they die.
韦小宝道：“钱大哥这件功劳倒大得紧呢。”	'Brother Qian,' said Trinket admiringly, 'this is a major achievement.'
说道：“这小玄子又不会武功，我要赢他，也不用学什么武艺，谁要你教了？	'This little fellow Misty,' he began again, out loud, 'he wasn't such a good fighter really. I wouldn't need to learn much to beat him. I don't need you to teach me, either.
小玄子笑了笑，道：“你没学过摔交，可是手脚挺灵活，我居然压你不住，再打几个回合，你便输了。”	'I can see you've never done any wrestling,' laughed Misty. 'But you're a quick mover all the same! You managed to get away that time. A few more goes and I'd have had you, though—'
但是这没有必要说出来。	But it was unnecessary to tell them about this.
汪淼看到了切割面，像镜面般光滑，毫不走形地映着天空火红的朝霞。	Wang saw the cut surfaces, smooth as mirrors. They reflected the fiery red light of dusk perfectly.
今天不是礼拜日，这可能是唱诗班为复活节进行的排练，唱的是这个节日弥撒中常唱的《圣灵光照》。	It wasn't Sunday, so it was likely a choir rehearsal. The song was 'Come, Gracious Spirit, Heavenly Dove.'
韦小宝道：“你说要将小郡主藏在宫里？”	'So you're proposing to hide her in the Palace?' said Trinket.
那时我对此事充满了敬业精神，对每次亲吻和爱抚都贯注了极大的热情。	In those days, I was full of respect for the task, enthusiastic about every kiss and caress.
“扔到洋马肚子底下啦！”父亲说。	'It's under the horse's belly,' Father said.
钱老板道：“这件事说大不大，说小不小，要听韦香主的意思办理。”	'It's a tricky business, this,' said Butcher Qian. 'I was thinking it was one for the Master himself to decide.'
狐狸伸出凉森森的舌头舔着他的伤口。	The fox began licking his wounds with its cold tongue.
他正坐在王府井天主教堂前。	He sat in front of St. Joseph's Church at Wangfujing.
回来时行色匆匆，没顾上去拿，因此我成了彻底的穷光蛋。	By the time I went back to Beijing, I was in a hurry and didn't have time to fetch the tools. That was how I was reduced to a complete zero.
老子们是来支援边疆建设，又不是充军的犯人，哪能容你们乱栽赃。	We're here to build up our country's borderland. We aren't some criminals in exile. Why should we put up with casual slander?
他还说，我搞破鞋群众很气愤，如果我不交待，就发动群众来对付我。	He said that the masses were very angry about my love affair with Chen Qingyang. If I didn't confess, he would mobilize the masses to deal with me.
这小姑娘年纪虽小，沐王府却当她是凤凰一般，只要这小郡主在咱们手里，徐三哥便稳如泰山，不怕他们不好好服侍。”	Although she's only a young girl, she means all the world to the Mu folk. As long as their Little Countess is in our hands, Brother Xu will be safe as houses. There's absolutely no fear of their not looking after him properly.'
鸽群是在前边飞的，后弄里飞着的是夕照里的一些尘埃，野猫也是在这里出没的。	As twilight encroaches, flocks of pigeons soar overhead, dust motes drift, and stray cats wander in and out of sight.
后来又说，交待得好，就让我调回内地。 陈清扬也可以调上级医院。	So later they said if we confessed well, they would let me go back to civilization, and Chen Qingyang would get to work in a bigger hospital.
再看时，只见黛玉在床上伸懒腰。	He could see her now. It was Dai-yu, of course, lying on her bed, stretching herself and yawning luxuriously.
一件也没拿回来。	I returned neither of them to the farm.
韦小宝心道：“人家欠了你们一万两银子不还吗？ 还是赌钱输掉了老婆裤子？	'What's the matter with you all?' thought Trinket. 'Anyone would think someone had borrowed ten thousand taels off you and wouldn't pay it back, or you'd lost your wife's trousers gambling or something.
我刚在她屁股上打了两下，打得非常之重，火烧火撩的感觉正在飘散。	I had just smacked her bottom; I spanked her really hard. The burning feeling was fading.
那位鹤发童颜的老者，是一位著名学者，以给东方哲学赋予现代科学内涵而闻名。	The old man was a famous scholar who had made his name by imbuing Eastern philosophy with the content of modern science.
王琦瑶虽是点头，心却茫然，还恍恍的，不知从何着手。	Wang Qiyao nodded, but deep down she was completely lost and had no idea where to begin.
天又蓝又亮，以致阴影里都是蓝黝黝的光。	The sky was so blue and bright that you could even see blue light in the shadows.
吴佩珍先有些不耐烦，又因为有点胆大，就拉王琦瑶去别处看。	Wu Peizhen was the first to lose her patience; after all, she was the more brazen one. She pulled Wang Qiyao away so they could go look around other parts of the studio.
我和陈清扬是第二次做爱，第一次做爱的很多细节当时我大惑不解。	It was the second time that I made love to Chen Qingyang. When we first made love, many details puzzled me.
王琦瑶觉得昨天还刚来过的，周围都是熟面孔。	She felt like she had been there just the day before, surrounded by faces she knew.
所不同的是披散的长发用个手绢束住，脚上也多了一双拖鞋。	The only differences were that she had tied back her long, loose hair with a handkerchief and put on a pair of sandals.
汪淼盯着桌上的雪茄，粗略计算了一下，“基本上够吧。”	Wang stared at the cigars on the table and did some mental calculations. 'I think I should have enough.'
其实，在这噩梦般的时刻，叶哲泰已倾向于相信它不存在了。	Actually, in this nightmarish moment, Ye was leaning toward believing that God did not exist.
我告诉她：这样地会更肥。	I told her that it would fertilize the land.
我胸口痛得好厉害，你又怎知道？”	I've got a terrible pain in my chest all the time. What would you know about it?'
那些牛身上拴着木制的铃裆，走起来发出闷闷的响声。	Hung with wooden bells, the buffaloes would make clunking sounds as they walked.
高粱红了，西风响，蟹脚痒，成群结队的、马蹄大小的螃蟹都在夜间爬上河滩，到草丛中觅食。 螃蟹喜食新鲜牛屎和腐烂的动物的尸体。	When the sorghum turned red, hordes of crabs the size of horse hooves scrambled onto the bank at night to search for food – fresh cow dung and the rotting carcasses of dead animals – among the clumps of river grass.
一面说，一面拉着走，又叫：“丰儿，替你李奶奶拿着拐棍子、擦眼泪的绢子。”	She proceeded to haul her off the premises, addressing a few words over her shoulder to her maid Felicity as she went: 'Felicity, bring Nannie's stick for her, there's a good girl! And for goodness' sake give her a handkerchief to wipe her eyes with!'
奶奶端坐不动，脸上的笑容凝固了一样。	Grandma sat without moving, the smile frozen on her face.
宝玉道：“大好了。	'Quite better, thank you.
论理，人来客至，却都不与我相干。	By rights, of course, Callers and Visitors has nothing to do with me.
“在天文馆，有二十副呢。”	'At the Capital Planetarium. We made more than twenty pairs.'
所以我的手经常被捆得乌青。	So my hands often turned dark blue.
这是一个晦涩的时刻，有些不清不白的，却是伤人肺腑。	It is a gloomy hour, when nothing is clear, yet it is enough to break the heart.
在这个大兴安岭深处的小山村里，叶文洁心中的什么东西渐渐融化了，在她心灵的冰原上，融出了小小的一汪清澈的湖泊。	In this tiny mountain hamlet deep in the Greater Khingan Mountains, something finally thawed in Ye Wenjie's heart. In the frozen tundra of her soul, a tiny, clear lake of meltwater appeared.
平安里的相熟都是不求甚解，浮皮潦草，表面上闹，底下还是寂寞，这寂寞是人不知，己也不知。 日子就糊里糊涂地过下去。	Underneath all that conviviality, people were lonely, though often they did not know it themselves, merely muddling through from one day to the next.
我心里就不服。	I felt really sorry for you when I heard that they'd left you out.
我坐在沙发上，她坐在床上，聊了一会儿天， 逐渐有了犯罪的气氛。	I sat on the sofa, and she sat in the bed. We chatted for a while, and then the criminal atmosphere began to build.
我记得她脸特别白，头发特别黑，整个情况就是这样的。	I remember her face was extremely pale, and her hair was especially dark. That's how the whole thing went.
但是她忽然泄了气，说：好吧，破鞋就破鞋吧。	However, suddenly disheartened, she said, 'All right, let me be damaged goods.
一名老仆奉上酒菜。	An old servant followed them carrying a wine-kettle and balancing some plates of cold meat.
她到现在还是无辜的。	She was still innocent now.
韦小宝抬起头来，和他目光一触，一颗心不由得突突乱跳，满腹大吹法螺的胡说八道霎时间忘得干干净净，一开口便是真话，将如何得到康熙宠幸、鳌拜如何无礼、自己如何和小皇帝合力擒他之事说了。	Lifting his head slightly, Trinket caught a glimpse of those dazzling eyes and felt his heart beating faster. All desire to indulge in his customary trumpet-blowing drained from him on the instant and he found himself for once giving a completely honest account of what he had done. He told the Helmsman how he had become Kang Xi's favourite; how Oboi had threatened and insulted the young Emperor; and how he and the Emperor had joined forces to take Oboi prisoner.
老头子从货堆上蹲起，友善地说：“哎，兄弟，别眼红吆，俺这是不惧生死从火堆里抢出来的！”	The old man rose up on his haunches and said amiably, 'Ah, my brother, let's not be envious. I risked my life to drag this stuff out of the flames!'
也许我去看看你。	Maybe I'll go there to visit you.
那时我光着膀子，衣服包了很多红糖馅的包子（镇上饭馆只卖这一种食品），双手提包子，背上还背了枪，很累赘。	I was naked to the waist then, because I had used my clothes to wrap brown sugar buns (the only kind of food sold in the town's restaurant), and with the buns in my hands and a gun slung over my back, I felt really loaded down.
说是闹饥荒，却好像从早到晚都在吃。	'Everyone talks about there not being enough to eat, but I feel like all I do all day long is eat!'
宝钗素日看他也如宝玉，并没他意，今儿听他要玩，让他上来，坐在一处玩。	Bao-chai had always behaved towards Jia Huan in exactly the same way as she did towards Bao-yu and made no distinctions between them. Consequently, when he asked to play, she at once made a place for him and invited him to join them on the kang.
这就是问题的关键之处——不管三体文明是什么样子，它们的到来对病入膏育的人类文明总是个福音。”	This is the key to the question: No matter what the Trisolarans are like, their arrival will be good news for the terminally ill human race.'
因那老调子是有着过时的表象，为世人所难以识辨，它只有在一个崭崭新的座子上，才可显出价值。 就好像一件古董是要放在天鹅绒华丽的底子上，倘若没这底子，就会被人扔进垃圾箱了。	Because his style appeared outdated on the surface, people had a hard time identifying it for what it was; but it really stood out against a super-modern background, like an antique placed on a velvet mat. Without the mat, someone would probably have thrown the piece away, thinking it was junk.
这时，灯光亮了，好像有十几个太阳相交地升起，光芒刺眼，她们这才看见面前是半间房间的摆设。	All of a sudden, the lights in the room lit up like a dozen rising suns, blinding them. After their eyes adjusted they made out a portion of the warehouse-like room that had been arranged to look like one half of a bedroom.
“在哪里？” 几个网友异口同声地问。	'Where is it?' several players asked in unison.
吹鼓手们从腰里摸出外曾祖父赏给他们的一串串铜钱，扔到那人脚前。	The musicians reached into their belts, took out the strings of copper coins Great-Granddad had given them, and tossed these at the man's feet.
老耿在鸡叫三遍时出了村，埋伏在村前洼地边沿一道低矮的土堰后，等待着它偷鸡归来。	Old Geng had walked out of the village as the roosters were crowing for the third time and gone straight to a low embankment alongside the swamp in front of the village, where he waited for the chicken thief to show up.
她几乎能听见那女人对佣人发嗔的声音，是怪她买来的虾又小又不新鲜，明知道先生要来家吃晚饭的。	She could almost hear the woman complaining to the maid that the shrimps from the market were too small and not fresh enough—didn't she know the master would be home for dinner that night?
彼时宝玉迷迷惑惑，若有所失，遂起身解怀整衣。	As she stood wondering, Bao-yu, who was still bemused after his dream and not yet in full possession of his faculties, got out of bed and began to stretch himself and to adjust his clothes, assisted by Aroma.
向卧在床上的小郡主瞧了一眼，道：“这小娘皮睡得倒挺安稳。”	He glanced towards the Little Countess lying on the bed: 'This girl—she's sleeping very soundly.'
